title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения,Период аренды
"3-комн. кв., 58 м2","Бишкек, Абдырахманова",$ 42 000,3 561 600 сом,$ 724/м2,61 407 сом/м2,Добавлено 4 месяца назад,Поднято 7 дней назад,383,от агента,кирпичный,5 этаж из 5,,58 м2,,индивид. планировка,,хорошее,есть,,раздельный,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,,,домофон,частично меблирована,дерево,,новая сантехника,,,,"

                                    Описание от продавца                            
срочно 3х квартира.в хорошем состоянии. частично с мебелью. на 5 этаже из 5. шиканый вид с окна.ценр города
","""42.8663""","""74.6105""",https://www.house.kg/details/36550195fd07d89968486-58773836,,
"Дом, 6 и более комнат, 284 м2","Бишкек, VEFA, горький/ошская",$ 280 000,23 744 000 сом,$ 986/м2,83 606 сом/м2,Добавлено 21 день назад,Поднято 7 дней назад,139,от собственника,"кирпичный, 2021 г.",,2,284 м2,5 соток,,на газе,евроремонт,,,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,пустая,паркет,,,,,,"

                                    Описание от продавца                            
Продаю новый дом в центре города в районе Горького/Панфилова (улица Ошская)


Участок 5 соток.

Площадь дома 281 кв.м.

Есть все коммуникации (трехфазка, газ,центральная канализация).

Делали качественный ремонт 100%

Высота потолков 3.3 м.

Отопление газовое и электрическое.

В доме имеются три санузла.

Сквозная улица выходит на Горького и Кулатова.


1 этаж: тамбур, котельная, хол, кухня, зал, гостиная, санузел.

2 этаж: 4 спальни , два санузла.


$ Цена 280 000$. Возможны варианты, за наличный расчет торг уместен.
","""42.8584""","""74.5959""",https://www.house.kg/details/83492096040c163e3dc86-38094122,,
"2-комн. кв., 43 м2","Бишкек, боконбаева/правда",$ 32 500,2 756 000 сом,$ 756/м2,64 093 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,216,от собственника,кирпичный,4 этаж из 4,,43 м2,,хрущевка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Правда/Боконбаева 4/4 хрущ. 32500.
","""42.8668""","""74.6116""",https://www.house.kg/details/3406779602b97ac75e932-89082729,,
"3-комн. кв., 58 м2","Бишкек, Московская бейшеналиева/бейшеналиева",$ 39 000,3 307 200 сом,$ 672/м2,57 021 сом/м2,Добавлено 16 дней назад,Поднято 7 дней назад,163,от агента,панельный,4 этаж из 5,,58 м2,,104 серия,центральное,хорошее,,,,застекленный балкон,бронированная,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Квартира 3 комнатная
104 серия все коммуникации центральные
Площадь 58м2 
На 4 этаже из 5
На 2 стороны
Адрес Московская-Бейшеналиева
Очень теплая
Цена 39000$ торг после осмотра
","""42.8715""","""74.5715""",https://www.house.kg/details/982476160486b533308c5-21479030,,
"3-комн. кв., 123 м2","Бишкек, фрунзе/свердлова",$ 110 000,9 328 000 сом,$ 894/м2,75 837 сом/м2,Добавлено 4 месяца назад,Поднято 7 дней назад,287,от агента,"монолитный, 2019 г.",10 этаж из 12,,123 м2,,элитка,центральное,евроремонт,,,2 с/у и более,застекленный балкон,бронированная,паркинг,,,,,,,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",пустая,ламинат,3 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Добрый день дорогие горожане и гости столицы.🙋♂️
Предлагаем вашему вниманию. Отличную 3х комнатную элитную 123 кв метр  лоджиями  Фрунзе Уметалиева
♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️
ЖК  АкМарал застройщик Кап строй
Все коммуникаций центральные.
Квартира  угловая. Окна на восток юг
Квартира чистая с отличным ремонтом
Рамы пластик.
♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️
Этаж 10 из 12
С крышей проблем нет
Лифт работает без проблем
♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️

Квартира однозначно достойная вашего внимания.
Цена 110.000
♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️♦️
Документы все в порядке.
Никаких рисков мы все проверили.
","""42.881""","""74.5813""",https://www.house.kg/details/57627615fcdc197dda443-05445092,,
"2-комн. кв., 72 м2","Бишкек, ахунбаева",$ 66 000,5 596 800 сом,$ 917/м2,77 733 сом/м2,Добавлено 21 день назад,Поднято 7 дней назад,121,от агента,монолитный,4 этаж из 9,,72 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаем 2 ком кв. 72 м2 ,  Район пр. Ахунбаева/ Грибоедова. СК Ихлас ЖК Бакаева 132. Этаж 4/12 лифт есть отопление коммуникации есть. 66000 

Просторный двор 
Сдан в экпл тех паспорт на руках
","""42.8419""","""74.5772""",https://www.house.kg/details/467466560409c7de651a5-95180946,,
"2-комн. кв., 48 м2","Бишкек, Ошский рынок, молодая гвардия/ токтогула",$ 32 000,2 713 600 сом,$ 667/м2,56 533 сом/м2,Добавлено 27 дней назад,Поднято 7 дней назад,141,от собственника,монолитный,4 этаж из 4,,48 м2,,104 серия,центральное,хорошее,есть,adsl,совмещенный,лоджия,бронированная,паркинг,,,,,,магистральный,,,пустая,линолеум,,,,есть,,"

                                    Описание от продавца                            
продаю 2х квартиру 104 серии.100% кафель. ремонт средний но состояние хорошее. не угловая. .
","""42.8757""","""74.5743""",https://www.house.kg/details/91686006038d0aa947541-08094957,,
"2-комн. кв., 48 м2","Бишкек, Молодая Гвардия, молодая гвардия //токтогула",$ 32 000,2 713 600 сом,$ 667/м2,56 533 сом/м2,Добавлено 28 дней назад,Поднято 7 дней назад,154,от агента,монолитный,4 этаж из 4,,"48 м2, жилая: 40 м2",,104 серия,центральное,хорошее,возможно подключение,,совмещенный,лоджия,,паркинг,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             кодовый замок",,линолеум,,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы",,,,"

                                    Описание от продавца                            
срочно продаю 2х комнатную квартиру 104 серии.42 квадратных мнтров + лоджия 6 квадратных метров.средний ремонт. рядом 8 и 9 школы и дет сады вся инфраструктура по шаговой доступности. квартира на 4 этажн из 4х.с крышей нет проблем.обращяться по тел 0509080607
","""42.8737""","""74.574""",https://www.house.kg/details/25767986038a615c4abe6-31372377,,
"2-комн. кв., 65 м2","Бишкек, Бишкек-Парк, токтогула/манаса",$ 53 000,4 494 400 сом,$ 815/м2,69 145 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,151,от агента,"кирпичный, 2021 г.",5 этаж из 14,,65 м2,,элитка,центральное,под самоотделку (псо),,,,,бронированная,паркинг,,,,,,,,"домофон,                                             кодовый замок,                                             видеонаблюдение",,,,"пластиковые окна,                                             кухня-студия,                                             неугловая",,,,"

                                    Описание от продавца                            
продаю 2х комнатуюквартиру студию общей площадью 65 м2 на Токтогула/манаса общая площадь увеличена. дом премиум класса (монолитно кирпичный) утепленный все комуникации центоальные. квартира на 5 этаже в 14 этажном доме.не угловая. в доме два лифта самого хорошего качества.расположение дома очень хорошее как для жилья так и под сдачу квартирантам можно сдать за 500-600$ в месяц.
дом сдан в эксплуатацию.обращаться по тел 0509080607
","""42.873""","""74.5889""",https://www.house.kg/details/44914826034be3791f973-46689831,,
"3-комн. кв., 70 м2","Бишкек, 7 м-н, 7 микр",$ 58 000,4 918 400 сом,$ 829/м2,70 263 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,236,от агента,кирпичный,5 этаж из 9,,"70 м2, жилая: 62 м2",,105 серия,центральное,хорошее,,,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             кодовый замок",пустая,линолеум,310 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",,,,"

                                    Описание от продавца                            
продается 3х комнатная квартира 105 серии.+ сушилка 5 этаж из 9 не угловая 2 лоджии ( из спальни и зал)чисто и акуратно. цена 58000$ просим. обращаться по тел 0509080607
","""42.8287""","""74.6178""",https://www.house.kg/details/55674896033639951c7c7-26304502,,
"3-комн. кв., 70.2 м2","Бишкек, 5 м-н, Карла маркса",$ 52 000,4 409 600 сом,$ 741/м2,62 815 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,243,от собственника,кирпичный,8 этаж из 9,,"70.2 м2, жилая: 41 м2, кухня: 19 м2",,106 серия,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
3 х квартира. 106 серия. 5 микр.пр Карла Маркса. 8 этаж из 9 прошу 52.000$
","""42.8343""","""74.6263""",https://www.house.kg/details/758002960262f16a97e32-21675327,,
"Дом, 3-комн., 71.12 м2","Бишкек, VEFA, карла маркса / горького",$ 87 000,7 377 600 сом,$ 1 223/м2,103 735 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,263,от агента,другое,,1,71.12 м2,,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Дом пер.Майкопский , ориентир Горького/Карла Маркса, уч 5 соток, дом саман, снаружи кирпич, 3 комнаты, 1959 года постройки, удобно под офисное место. Цена 87000$
","""42.8541""","""74.6102""",https://www.house.kg/details/8406883602b94d51f8029-88644815,,
"1-комн. кв., 54 м2","Бишкек, 5 м-н",$ 41 600,3 527 680 сом,$ 770/м2,65 327 сом/м2,Добавлено 4 месяца назад,Поднято 7 дней назад,279,от агента,кирпичный,11 этаж из 12,,54 м2,,элитка,центральное,под самоотделку (псо),,,,балкон,,,,,,,,магистральный,,,,,,,нет,нет,,"

                                    Описание от продавца                            
СК Элит Хаус

Этаж 11 из 12

Дом сдан в эксплуатацию

Площадь 54 ПСО

Цена41600
","""42.8327""","""74.6256""",https://www.house.kg/details/95520915fd092b20b9114-62797643,,
"2-комн. кв., 66 м2","Бишкек, Средний Джал м-н",$ 32 000,2 713 600 сом,$ 485/м2,41 115 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,185,от агента,кирпичный,9 этаж из 9,,66 м2,,106 серия,центральное,под самоотделку (псо),,,,лоджия,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
2х.квартира. 106 серия
3 лоджии псо 32000$
","""42.8375""","""74.5662""",https://www.house.kg/details/68665816026299c0fbd28-82415339,,
"1-комн. кв., 35 м2","Бишкек, Кара-Жыгач ж/м, (Возле ул.Горького)",$ 26 500,2 247 200 сом,$ 757/м2,64 206 сом/м2,Добавлено 2 месяца назад,Поднято 7 дней назад,2464,от собственника,"кирпичный, 2016 г.",2 этаж из 3,,35 м2,,индивид. планировка,автономное,евроремонт,возможно подключение,оптика,совмещенный,нет,металлическая,гараж,,,,,,возможно подключение,,"домофон,                                             видеонаблюдение",частично меблирована,ламинат,2.8 м.,"пластиковые окна,                                             новая сантехника,                                             тихий двор",нет,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 1 к.кв. в доме 2016г. постройки с отличным ремонтом, с ГАРАЖОМ, в ж.м.Кара-жыгач, недалеко от ул.Горького. 2 этаж из 3. Дом кирпичный с утеплением, индивидуальной планировки, сдан в эксплуатацию, тех.паспорт на руках. Дом построен на совесть, очень теплый  с собственной котельной (уголь) на 20 квартир. В год аварии на ТЭЦ в минус 30, когда город был обесточен, у нас было и отопление, и свет, и горячая вода - отличная независимость. Центральная канализация, вода. Электроприготовление, можно провести и газ - улица газифицирована.  Есть ""очок"" общего пользования, свой маленький дворик. Рядом: школа - 1 минута пешком, филиал поликлиники №8 - 3 минуты пешком, местная администрация. 
Продаю срочно, остается встроенная кухня, прихожая с пеналом.  0702 284 606 Агентствам не беспокоить!!!
","""42.8583""","""74.6557""",https://www.house.kg/details/892828660168d224f92f2-44961357,,
"2-комн. кв., 67 м2",Бишкек,$ 49 000,4 155 200 сом,$ 731/м2,62 018 сом/м2,Добавлено 2 месяца назад,Поднято 7 дней назад,175,от агента,"панельный, 1981 г.",7 этаж из 9,,"67 м2, жилая: 30.5 м2, кухня: 6.5 м2",,105 серия,центральное,требует ремонта,возможно подключение,,раздельный,лоджия,деревянная,паркинг,,,,,,магистральный,,домофон,частично меблирована,линолеум,2.8 м.,"неугловая,                                             кладовка,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Квартира находится на первой линии улиц Боконбаева-Правда. В квартире требуется ремонт, но покупатель будет жить в самом центре города в шаговой доступности от торгово-развлекательных центров как ГУМ, ЦУМ и Дордой Плаза. 
Множество школ гимназий а также детских садов будет способствовать хорошему развитию ваших детей. В пяти минутах ходьбы от дома есть хорошие заведения где можно отлично провести время: Бублик, Dodo pizza, Вкус Востока. 
Очень удобная транспортная развязка позволяет быстро добраться в любую точку города.
","""42.8671""","""74.6156""",https://www.house.kg/details/4560003601a66695b4c66-82137435,,
"1-комн. кв., 34 м2","Бишкек, Аламедин-1 м-н",$ 27 000,2 289 600 сом,$ 794/м2,67 341 сом/м2,Добавлено 7 дней назад,,32,от агента,панельный,4 этаж из 9,,34 м2,,105 серия,центральное,среднее,возможно подключение,проводной,совмещенный,лоджия,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Продается 1к.ва.  в Аламедине_1.  
Квартира 105 серии на 4 этаже из 9 .
Не угловая, сантехника новая, обои, линолеум. 
Цена 2700$ 
Дополнительная информация по тел.:0-508-08-70-77,0-220-25-00-80     
#куплю #обмен #продажа #квартира #недвижимость #анsweethome
","""42.8767""","""74.6852""",https://www.house.kg/details/5716421605437ba7511e6-58077873,,
"5-комн. кв., 220 м2","Бишкек, 7 м-н, токомбаева 53/2",$ 253 000,21 454 400 сом,$ 1 150/м2,97 520 сом/м2,Добавлено 1 месяц назад,Поднято 7 дней назад,259,от агента,"монолитный, 2015 г.",12 этаж из 13,,220 м2,,элитка,центральное,евроремонт,есть,,2 с/у и более,балкон,,,,,,,,магистральный,,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",частично меблирована,,3 м.,"пластиковые окна,                                             кладовка,                                             тихий двор",есть,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаётся 5ти комнатная квартира в ЖК 7небо 
Застройщик «Авангард Стиль»

Общая квадратура 220 м2
Этаж  12-13
Адрес: Токомбаева 5/2, (рядом с Глобус)
Дом сдан в эксплуатацию - 2016 год

ПРЕИМУЩЕСТВА: Пентхаус
              Красивый вид с окон
              Новый дом
              Евроремонт 
              Солнечная сторона
              Монолитно- кирпичная конструкция здания
              Центральное отопление
              Горячее холодное водоснабжение
              Сан узлы отдельно
              Вместительные кладовые
              Просторные подьезды
              Тихий двор
              Детская игровая площадка
              Охраняемая зона

РАССМАТРИВАЕМ обмен на авто или вторичное жилье + доплата , так же есть возможность рассрочки с удобным графиком для вас !!!

По всем вопросам обращайтесь по номеру: 0999022128
","""42.8242""","""74.6156""",https://www.house.kg/details/4607567602656e092dd97-31583825,,
"1-комн. кв., 34 м2","Бишкек, Аламедин-1 м-н",$ 27 000,2 289 600 сом,$ 794/м2,67 341 сом/м2,Добавлено 7 дней назад,,22,от агента,панельный,6 этаж из 9,,34 м2,,105 серия,центральное,среднее,возможно подключение,проводной,совмещенный,лоджия,,,,,,,,,,домофон,,,,,,,,"

                                    Описание от продавца                            
1 комн кварт., 
6 этаж из 9 ти, 105 серия, 
мкр Городок сртоителей, 
Цена: 27000$ 
0-508-08-70-77, 0-220-25-00-80     
#куплю #обмен #продажа #квартира #недвижимость #анsweethome
","""42.8753""","""74.6907""",https://www.house.kg/details/3214975605434f3c56d49-73615270,,
"1-комн. кв., 32 м2","Бишкек, 8 м-н",$ 27 500,2 332 000 сом,$ 859/м2,72 875 сом/м2,Добавлено 3 месяца назад,Поднято 7 дней назад,317,от собственника,панельный,1 этаж из 5,,32 м2,,104 серия,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Сроочно продаётся 1 ком.квартира в 8 микр-не Мандарин. 1 этаж из 5ти, не угловая.
Состояние требует ремонта.
Цена сроочная :27500$
Все вопросы по тел 0555240296 и 0703120270
","""42.8324""","""74.6118""",https://www.house.kg/details/14446315ff418e5cab3d9-01701638,,
"3-комн. кв., 72 м2","Бишкек, 12 м-н",$ 63 000,5 342 400 сом,$ 875/м2,74 200 сом/м2,Добавлено 26 дней назад,Поднято 7 дней назад,63,от агента,панельный,7 этаж из 9,,72 м2,,106 серия,центральное,среднее,,,раздельный,,,,,,,,,,,,,,,,,,обмен не предлагать,"

                                    Описание от продавца                            
Продаётся 3 ком.квартира +сушилка.
7 из 9ти,не угловая. 106 серия. 
Состояние квартиры среднее.
В данный момент проживают квартиранты..
Общая площадь :72м2
Стоимость:63000$+уступим ещё. 
Все вопросы по тел 0555240296, 0703120270. 
Всё что есть остаётся..
","""42.8168""","""74.6379""",https://www.house.kg/details/7894525603a1740378886-78094643,,
"2-комн. кв., 67 м2","Бишкек, Золотой квадрат",$ 46 000,3 900 800 сом,$ 687/м2,58 221 сом/м2,Добавлено 13 дней назад,Поднято 7 дней назад,91,от агента,кирпичный,4 этаж из 12,,67 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
срочно продается в золотом квадрате на Боконбаева/Панфилова 2-комнатная квартира -студия=66.7м2., ПСО., от застройщика""Памир строй"" в Жилом Комплексе ""Royal centre"" ,  дом кирпичный, заселённый, тех паспорт есть, все коммуникации центральные!
Квартира на 4 этаж из 12ти., свой огромный двор, подземный и надземный паркинг, видео наблюдение 24/7., удобная детская площадка. Инфраструктура очень развита, школы, садик, Бульвар Держинка и т.п в шаговой доступности! 

Цена срочная: 46000$ (интересует только наличка)

тел:0555240296
0703120270
","""42.8696""","""74.6005""",https://www.house.kg/details/9900164604b655fb0ea69-31658590,,
"1-комн. кв., 44 м2","Бишкек, Средний Джал м-н",$ 31 500,2 671 200 сом,$ 716/м2,60 709 сом/м2,Добавлено 16 дней назад,Поднято 7 дней назад,103,от собственника,панельный,2 этаж из 9,,44 м2,,106 серия,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаём 2 квартиры в среднем Джале. 106 полноценные.. Одна на 2 а другая на 3м этаже не угловые..состояние среднее жилое..
Стоимость:31500$+торг
Все вопросы по тел 0555240296 и 0703120270
","""42.839""","""74.5655""",https://www.house.kg/details/54183856047584095cd12-17794195,,
