title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"Дом, 3-комн., 43 м2","Бишкек, с. Чон-Арык",$ 34 000,2 883 200 сом,$ 791/м2,67 051 сом/м2,Добавлено 19 дней назад,Поднято 5 дней назад,343,от собственника,кирпичный,,1,43 м2,5 соток,,смешанное,среднее,есть,,,,,,,,септик,центральное водоснабжение,есть,возможно подключение,,,частично меблирована,дерево,,,нет,есть,,"

                                    Описание от продавца                            
Дом в Бишкеке с выходом на горы.

Дом в Чон Арыке. Бишкек район Государственной резиденции.
На участке два входа с противоположенных сторон.
Один со стороны улицы другой выходит на гору.
Прямо возле гор есть место для постройки мини кошары с сеновалом. Удобно держать скот, выпас можно производить прямо за воротами.
Между заборами и горой проходит грунтовая дорога. Есть заезд со стороны гор внутрь участка примерно для трёх автомобилей. Можно подвозить сено, уголь, дрова, строй материалы. Со стороны улицы есть площадка для авто размером 9 метров в длину и 3.70 в ширину. Можно поставить гараж или установить крытую постройку.
Газ по границе- можно подключиться в любое время, свет, вода дома и в бане, глубокий септик не наполняется. отопление печное-водяное.
Дом кирпичный, 3 комнаты, большой зал 2 небольшие комнаты. кухня среднего размера, времянка, баня, 2 хозпостройки. Фундамент бетонный, стены из жженого кирпича, полы деревянные, крыша шиферная, перекрытия из крепкого дерева. Всё это можно использовать при стоительстве нового дома.

Есть возможность и все комуникации для устройства сан узла внутри дома.

Экологически чистый район города рядом с горами.
Улица не проходная, спокойная, соседи дружные.
Недалеко магазин ""Глобус"", детский сад. В пешей доступности школа, парк ""Фламинго"".
Прописка города Бишкек. Городской телефон Кыргызтелеком.
Дом находиться на возвышенности. с участка открываеться красивый вид на город.
Торг уместен после осмотра..
","""42.7978""","""74.5714""",https://www.house.kg/details/280689460435b78cf6b69-82246866
"1-комн. кв., 35.5 м2","Бишкек, Тунгуч м-н, Тунгуч-1 8",$ 25 500,2 162 400 сом,$ 718/м2,60 913 сом/м2,Добавлено 5 дней назад,,29,от собственника,"панельный, 1990 г.",8 этаж из 9,,"35.5 м2, жилая: 18 м2, кухня: 11 м2",,105 серия улучшенная,центральное,среднее,есть,проводной,совмещенный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"домофон,                                             кодовый замок,                                             видеонаблюдение",,линолеум,,,нет,,обмен не предлагать,"

                                    Описание от продавца                            
Срочно продаю 1 комнатную квартиру, угловая, 8/9, лифт работает, видеокамера в подъезде, рядом садик, школа, Неман, Глобус, хорошая инфраструктура
","""42.8539""","""74.6855""",https://www.house.kg/details/61958156055b98221dd96-41029435
"1-комн. кв., 53.81 м2","Бишкек, Бокомбаева/Шопокова",$ 40 500,3 434 400 сом,$ 753/м2,63 825 сом/м2,Добавлено 9 месяцев назад,Поднято 5 дней назад,1052,от собственника,монолитный,10 этаж из 14,,53.81 м2,,элитка,,под самоотделку (псо),,,2 с/у и более,,,,,,,,,,,,,,3.2 м.,,нет,нет,рассмотрю варианты,"

                                    Описание от продавца                            
СРОЧНО! СРОЧНО! СРОЧНО! 
жилой комплекс ""АРИСТОКРАТ"" 
1комнатная, площадь 53,81м2,  10 этаж из 14, отопление- центральное, газ- центральный, горячая вода- центральная, 2 сан узла, 2 лифта в подъезде, застройщик -IHLAS, 
адрес: ул. Шопокова,  38 пересекает ул московская за кв. м. 40500$ торг уместен
","""42.8679""","""74.6145""",https://www.house.kg/details/81856305efb0651384e69-42041710
"3-комн. кв., 101 м2","Бишкек, ул. Панфилова 190/1",$ 75 700,6 419 360 сом,$ 750/м2,63 558 сом/м2,Добавлено 5 дней назад,,27,от собственника,монолитный,6 этаж из 16,,101 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3.2 м.,,,,,"

                                    Описание от продавца                            
Продаю элитную 3-х ком квартиру под  самоотделку  
Панфилова / Фрунзе   
ЖК ""Панфилов-3""
Застройщик ""Борсан Констракшн""
Площадь 101 М2
6 этаж из 13 
Тех паспорт на руках
Окна север/восток
Все коммуникации центральные 
Большой , закрытый , охраняемый двор
Бассейн, детские площадки, магазины во дворе 
ГМ Фрунзе
Хорошая инфраструктура   
Цена: 75 700 $, торг символический
","""42.8822""","""74.6003""",https://www.house.kg/details/75301426055b672a2d633-62581647
"Дом, 6 и более комнат, 100 м2","Бишкек, Кок-Жар ж/м, Кулмурзаева 92/Улан",$ 100 000,8 480 000 сом,$ 1 000/м2,84 800 сом/м2,Добавлено 5 дней назад,,33,от собственника,"кирпичный, 2005 г.",,1,"100 м2, жилая: 89 м2, кухня: 10 м2",4.5 соток,,на газе,евроремонт,возможно подключение,adsl,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,,линолеум,2.7 м.,"баня,                                             сад,                                             хозпостройки",,,,,"""42.8463""","""74.6458""",https://www.house.kg/details/40946676055b5e00762a0-11763127
"3-комн. кв., 189.2 м2","Бишкек, Токтогула/Советская",$ 145 000,12 296 000 сом,$ 766/м2,64 989 сом/м2,Добавлено 1 год назад,Поднято 5 дней назад,1459,от собственника,"монолитный, 2011 г.",7 этаж из 11,,189.2 м2,,элитка,центральное,хорошее,,,2 с/у и более,,бронированная,паркинг,,,,,,магистральный,,,частично меблирована,,2.8 м.,,,,обмен не предлагать,"

                                    Описание от продавца                            
Продается квартира в центре города
","""42.8728""","""74.6102""",https://www.house.kg/details/94058375e1c4d214b4390-07620707
"2-комн. кв., 58 м2","Бишкек, Кок-Жар ж/м, ул. Молдокулова / ул. Куйручук",$ 41 500,3 519 200 сом,$ 716/м2,60 676 сом/м2,Добавлено 5 дней назад,,20,от собственника,монолитный,3 этаж из 9,,58 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 2 комнатную квартиру с новым ремонтом
Ахунбаева / Молдокулова  
СК ""ЭМАКОМ""
ЖК ""Фэмили Хаус""
Площадь 58 м2 
3 этаж из 10. 
Ремонт , встроенная кухня. 
Никто не жил
Рядом ГМ Глобус, Мечеть
Цена 41 500 $
","""42.8401""","""74.6438""",https://www.house.kg/details/25254826055aca88e1f75-45799902
"1-комн. кв., 28.3 м2","Бишкек, Турусбекова/Токтогула",$ 30 500,2 586 400 сом,$ 1 078/м2,91 392 сом/м2,Добавлено 3 месяца назад,Поднято 6 дней назад,268,от собственника,кирпичный,2 этаж из 5,,28.3 м2,,индивид. планировка,центральное,хорошее,,проводной,совмещенный,застекленный балкон,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю 1 к.квартиру в индивидуалке, кирпичный дом, 2 этаж из 5, не угловая. Балкон застекленный. Просторный двор. Тихий центр, Турусбекова/Токтогула. Развитая инфраструктура, рядом есть все. Торг уместен в разумных пределах. Обращайтесь по номеру: 0551882291
","""42.873""","""74.5845""",https://www.house.kg/details/70206975ff9d160780e46-66690783
"Дом, 5-комн., 70 м2","Бишкек, Бакай-Ата ж/м, Ул. Гоголя 71",$ 45 000,3 816 000 сом,$ 643/м2,54 514 сом/м2,Добавлено 1 год назад,Поднято 6 дней назад,2631,от собственника,"кирпичный, 2010 г.",,2,70 м2,8.5 соток,,на газе,хорошее,нет,,нет,,,,,,центральная,скважина,есть,магистральный,,,частично меблирована,ламинат,2.6 м.,,нет,,,,"""42.903""","""74.6388""",https://www.house.kg/details/57899275e0473b31b1d99-67382377
"Дом, 5-комн., 120 м2",Бишкек/Фучика Ленская,$ 70 000,5 936 000 сом,$ 583/м2,49 467 сом/м2,Добавлено 9 месяцев назад,Поднято 6 дней назад,1154,от собственника,"кирпичный, 2014 г.",,1,"120 м2, жилая: 110 м2, кухня: 20 м2",10 соток,,смешанное,евроремонт,есть,adsl,раздельный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,"решетки на окнах,                                             видеонаблюдение",частично меблирована,ламинат,3 м.,"пластиковые окна,                                             сад,                                             хозпостройки,                                             навес,                                             3 фазы",нет,,,"

                                    Описание от продавца                            
Продаю дом, участок 10 соток. Все коммуникаций центральные кроме отоплении. 3х фазска, летний тапчан, навес, плюс 3 х комнатная времянка с ремонтом для сдачи в аренду (10000 сом в месяц) там уже есть арендатор. Сан узел внутри. Торг при осмотре.
","""42.8926""","""74.553""",https://www.house.kg/details/27190175ee88725bab891-60383905
"3-комн. кв., 91 м2","Бишкек, Панфилова/фрунзе",$ 84 000,7 123 200 сом,$ 923/м2,78 277 сом/м2,Добавлено 20 дней назад,Поднято 6 дней назад,243,от собственника,"кирпичный, 2017 г.",8 этаж из 13,,91 м2,,элитка,центральное,евроремонт,,,,,,,,,,,,,,,пустая,,3.2 м.,,,,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 3-комнатную квартиру в центре.
ЖК: Панфилов.91 кв. м., этаж 8 из 13. Не угл, тех паспорт на руках, все коммуникации центральные.
Регион: Бишкек/Центр
Серия: Элитка
Адрес: Панфилова/Фрунзе
Этажность: 8 из 13
Кол - во комнат: 3
Общ . площадь: 91 кв . м .
Продавец: Физическое лицо
Цена: 84000$
+996774735393
","""42.8822""","""74.6003""",https://www.house.kg/details/54925446041eb726a67c5-06711394
"1-комн. кв., 41 м2","Бишкек, Тунгуч м-н, анкара 63",$ 26 500,2 247 200 сом,$ 646/м2,54 810 сом/м2,Добавлено 6 дней назад,,30,от собственника,панельный,3 этаж из 9,,"41 м2, жилая: 36 м2",,105 серия,центральное,среднее,есть,,совмещенный,застекленный балкон,бронированная,,,,,,,магистральный,,,пустая,линолеум,,,,,обмен не предлагать,"

                                    Описание от продавца                            
Утепленная снаружи
","""42.8543""","""74.6892""",https://www.house.kg/details/34342346055a6192b5bb7-99818320
"3-комн. кв., 70 м2","Бишкек, Бишкек-Парк",$ 80 000,6 784 000 сом,$ 1 143/м2,96 914 сом/м2,Добавлено 1 месяц назад,Поднято 6 дней назад,228,от собственника,кирпичный,2 этаж из 3,,"70 м2, кухня: 70 м2",,сталинка,центральное,евроремонт,,,,,,,,,,,,,,,полностью меблирована,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
3-х кВ, «Сталинка» 70м2, 2-ой этаж, не угловая, напротив Посольство РФ по пр.Манаса (между Тогтогула-Киевская), двор «Кыргызалтын». Дом из 3-х этажей имеет приусадебный участок 5соток (Красная книга). Отличный ремонт, комнаты все изолированы, кухня новая 2020г., (BOSCH техника), окна пластик с усиленными стеклопакетами, кондиционеры новые, сантехника JIKA (Чехия). Пол ламинат ( Германия) Двери (РФ). Кладовая комната... Обмен на 100-120 м2, с доплатой!
 тел. 0555 99 43 78 Ольга
","""42.8752""","""74.5877""",https://www.house.kg/details/29540466027891186d318-25037572
"2-комн. кв., 67 м2","Бишкек, М. Сагынбая 125/Т. Молдо",$ 47 000,3 985 600 сом,$ 701/м2,59 487 сом/м2,Добавлено 28 дней назад,Поднято 6 дней назад,128,от собственника,"кирпичный, 2021 г.",7 этаж из 11,,"67 м2, жилая: 67 м2, кухня: 15 м2",,элитка,центральное,под самоотделку (псо),возможно подключение,,раздельный,,,,,,,,,магистральный,,,,,3.2 м.,,,,рассмотрю варианты,,"""42.8718""","""74.5946""",https://www.house.kg/details/614634560378e4bd913f4-01033002
"Дом, 5-комн., 245 м2","Бишкек, Жилгородок Совмина ж/м",$ 441 000,37 396 800 сом,$ 1 800/м2,152 640 сом/м2,Добавлено 1 месяц назад,Поднято 6 дней назад,223,от агента,"кирпичный, 2021 г.",,1,245 м2,5 соток,,на газе,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
☆Продаются коттеджи в VIP городке ""BRAVO""
☆Площадью 280м²
☆Под ПСО
☆Сдача в апреле 2021 года
☆Экологически чистый, престижный район
☆Цена: 1800$ за м²
☆Телефон:0555 53 03 30
","""42.8086""","""74.5962""",https://www.house.kg/details/4876045602a4806cabb71-29206042
"2-комн. кв., 48 м2","Бишкек, Суюмбаева",$ 41 500,3 519 200 сом,$ 865/м2,73 317 сом/м2,Добавлено 2 месяца назад,Поднято 6 дней назад,229,от агента,панельный,7 этаж из 9,,"48 м2, жилая: 30 м2, кухня: 7.5 м2",,105 серия,центральное,хорошее,возможно подключение,проводной,раздельный,лоджия,бронированная,,,,,,,магистральный,,домофон,,линолеум,2.8 м.,,нет,,,"

                                    Описание от продавца                            
р-н ""Карвен клуба"", продается 2 кв., Карпинка(Суюмбаева)/Токтогула,

✓105 серии, комнаты изолированные, сан узел раздельно в линейку.

✓на 7 этаже из 9

✓не угловая, теплая.

$ 41 500

Тел:+996  555  53 03 30
","""42.8722""","""74.6234""",https://www.house.kg/details/7844233601cdf4e1e2851-17142411
"1-комн. кв., 32 м2","Бишкек, Советская/Донецкая",$ 28 500,2 416 800 сом,$ 891/м2,75 525 сом/м2,Добавлено 1 месяц назад,Поднято 6 дней назад,208,от агента,кирпичный,1 этаж из 5,,32 м2,,индивид. планировка,центральное,среднее,возможно подключение,adsl,раздельный,нет,,,,,,,,магистральный,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Продаём 1 ком.кв 
✓Советская/Донецкая
✓индив.проект
✓этаж 1/5
✓площадь: 32 м²
✓ чистая и аккуратная
-------------------------------------------
Цена: 28.500 $
-------------------------------------------
","""42.8374""","""74.6083""",https://www.house.kg/details/31521796024c87e348d81-30362072
