title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"1-комн. кв., 53.1 м2","Бишкек, Ул Жумабекова 117/Шопокова",$ 47 790,4 052 592 сом,$ 900/м2,76 320 сом/м2,Добавлено 1 месяц назад,Поднято 21 день назад,121,от собственника,"монолитный, 2021 г.",7 этаж из 18,,53.1 м2,,105 серия,смешанное,черновая отделка,возможно подключение,,,,бронированная,паркинг,,,,,,,,охрана,пустая,,3 м.,,есть,,рассмотрю варианты,"

                                    Описание от продавца                            
На стадие строительство 2022г

18 этажей

Удобно спланированный внутренний двор с гостевой автостоянкой
Современные детские игровые площадки
Благоустройство территории комплекса
Охраняемая территория
Квартиры подготовлены под чистовую отделку
Прочнейшая монолитно-кирпичная конструкция здания

КВАРТИРЫ ОСНАЩЕНЫ
Центральное отопление
Природный газ
Горячее и холодное водоснабжение
Пластиковые панорамные окна и витраж
Утепленные наружные стены
Бесшумные скоростные лифты
Бронированные двери
ТВ, Интернет, домофон
","""42.8816""","""74.6161""",https://www.house.kg/details/1770745602c95b25259d2-75085055,
"1-комн. кв., 53.1 м2","Бишкек, Жумабекова 117",$ 47 790,4 052 592 сом,$ 900/м2,76 320 сом/м2,Добавлено 1 месяц назад,Поднято 21 день назад,160,от агента,"монолитный, 2021 г.",12 этаж из 18,,53.1 м2,,элитка,центральное,черновая отделка,,,совмещенный,,,паркинг,,,,,,,,охрана,пустая,,3 м.,,есть,,рассмотрю варианты,"

                                    Описание от продавца                            
На стадии строительства 2022г
18 этажей

Удобно спланированный внутренний двор с гостевой автостоянкой
Современные детские игровые площадки
Благоустройство территории комплекса
Охраняемая территория
Квартиры подготовлены под чистовую отделку
Прочнейшая монолитно-кирпичная конструкция здания

КВАРТИРЫ ОСНАЩЕНЫ
Центральное отопление
Природный газ
Горячее и холодное водоснабжение
Пластиковые панорамные окна и витражи
Утепленные наружные стены
Бесшумные скоростные лифты
Бронированные двери
ТВ, Интернет, домофон
","""42.8816""","""74.6161""",https://www.house.kg/details/7547875602b864e4b30b5-84952351,
"Дом, 6 и более комнат, 145 м2","Бишкек, 110 квартал ж/м, Темировская 2",$ 60 000,5 088 000 сом,$ 414/м2,35 090 сом/м2,Добавлено 2 месяца назад,Поднято 21 день назад,205,от собственника,монолитный,,1,145 м2,7 соток,,на газе,хорошее,,adsl,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,частично меблирована,линолеум,,,,есть,,,"""42.8898""","""74.5334""",https://www.house.kg/details/9675900600a658432eca9-10651196,
"2-комн. кв., 67 м2","Бишкек, Восток-5 м-н 31",$ 53 000,4 494 400 сом,$ 791/м2,67 081 сом/м2,Добавлено 1 месяц назад,Поднято 21 день назад,112,от собственника,"панельный, 1983 г.",5 этаж из 9,,"67 м2, жилая: 57.9 м2",,105 серия улучшенная,центральное,среднее,,,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,домофон,частично меблирована,,,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",нет,есть,,,"""42.8742""","""74.6288""",https://www.house.kg/details/913932860220685c8c8f1-74607945,
"1-комн. кв., 36 м2","Бишкек, Кудайберген, Патриса Лумумбы 52/Волкова",$ 24 500,2 077 600 сом,$ 681/м2,57 711 сом/м2,Добавлено 21 день назад,,98,от собственника,"панельный, 1978 г.",3 этаж из 3,,36 м2,,104 серия,центральное,среднее,есть,проводной,совмещенный,балкон,деревянная,,,,,,,,,домофон,частично меблирована,дерево,280 м.,"кондиционер,                                             неугловая,                                             тихий двор",нет,нет,,"

                                    Описание от продавца                            
Продам 1-к кв. 104 серии. 3/3. Не угловая. Квартира очень теплая. В квартире интернет wi-fi, гор.тел. хол.гор. вода. Газ. Домофон. Кухня стены кафель. Ванная и туалет стены и пол кафель. Зал обои. Прихожая 50% дерево и 50% обои. Зимой в квартире тепло, ходим в шортах. Солнечная сторона. Квартира светлая. Соседи дружелюбные. Рядом школы, садики. Магазины, аптеки, почта и т.д в шаговой доступности. Хорошая транспортная развязка. Рядом 2 базара. 2 детских площадки.
","""42.8789""","""74.5247""",https://www.house.kg/details/756689160419579eb2925-52879850,
"3-комн. кв., 102 м2","Бишкек, Ошский рынок",$ 46 000,3 900 800 сом,$ 451/м2,38 243 сом/м2,Добавлено 21 день назад,,93,от собственника,"кирпичный, 2021 г.",2 этаж из 10,,102 м2,,элитка,центральное,,,,,балкон,бронированная,,,,,,,автономный,,"домофон,                                             охрана",пустая,,,"пластиковые окна,                                             тихий двор",нет,нет,,,"""42.8769""","""74.5647""",https://www.house.kg/details/451651160413a46755bb9-25785412,
"Участок, 30 соток","Бишкек, Кудайберген",$ 5 500,466 400 сом,,,Добавлено 21 день назад,,236,от собственника,,,,,30 соток,,,,,,,,,,,,,,,,,,,,,,есть,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продаётся земельный участок улица профсоюзная , г.Бишкек под бизнес с проектом , со всеми документами. 30 соток 5,500$ за 1 сот 

Обращаться по номеру: +996 706 710 497
","""42.8845""","""74.5237""",https://www.house.kg/details/213272460412b1a4b2751-93635349,
"2-комн. кв., 47.1 м2","Бишкек, Аламедин-1 м-н, Салиева 68",$ 35 000,2 968 000 сом,$ 743/м2,63 015 сом/м2,Добавлено 27 дней назад,Поднято 21 день назад,1959,от собственника,панельный,1 этаж из 5,,47.1 м2,,105 серия,центральное,хорошее,есть,проводной,раздельный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,домофон,частично меблирована,линолеум,,"кладовка,                                             тихий двор",,,,,"""42.8792""","""74.6904""",https://www.house.kg/details/71159846039f5cf8d59e5-30379675,
"2-комн. кв., 44 м2","Бишкек, Молодая Гвардия",$ 25 000,2 120 000 сом,$ 568/м2,48 182 сом/м2,Добавлено 21 день назад,,81,от агента,кирпичный,2 этаж из 2,,44 м2,,105 серия,,хорошее,,,,,,,,,,,,,,,,,,,есть,есть,,"

                                    Описание от продавца                            
Продается двухкомнaтнaя квaртиpa, pacпoложенная на втором этaжe двух 
 этажного кирпичного дoмa в районе молодой гвардии/ленинградского.
Состояние кваpтиpы чисто аккуратно, oбщая площадь 44 м2. Cанузел совмещённый 100% кафель.
. В непосредственной близости:школа, детский сад, магазины, остановки общественного транспорта.
Частично мебель. Ухоженный двор.Удобные подьездные пути.
ИПОТЕКА приветствуется!!! 

Цена 25000$ мини торг
","""42.8827""","""74.5773""",https://www.house.kg/details/30629636041113dc6ff12-88070088,
"2-комн. кв., 39.1 м2","Бишкек, Шлагбаум, Дэн Сяопина 8/Интергельпо",$ 28 000,2 374 400 сом,$ 716/м2,60 726 сом/м2,Добавлено 21 день назад,,114,от собственника,кирпичный,1 этаж из 3,,39.1 м2,,хрущевка,центральное,среднее,есть,проводной,совмещенный,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продается 2х комнатная квартира!!!
 Район Шлагбаума,Дэн Сяопина 8.
 Все коммуникации центральные.
Требует косметического ремонта.
 Цена $28000(торг уместен)

0558193619
0702764431
","""42.8774""","""74.5595""",https://www.house.kg/details/970931604110663865c7-97011897,
