title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Период аренды
"Дом, 3-комн., 53 м2","Бишкек, Кок-Жар ж/м, тон 54",$ 100 000,8 480 000 сом,$ 1 887/м2,160 000 сом/м2,Добавлено 3 месяца назад,,318,от собственника,"кирпичный, 2010 г.",,1,53 м2,4 соток,,на твердом топливе,хорошее,возможно подключение,,совмещенный,,,,,,возможно подведение,центральное водоснабжение,есть,возможно подключение,,,частично меблирована,линолеум,,"пластиковые окна,                                             хозпостройки",,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю теплый кирпичный дом

Все условия( газ, свет, канализация, вода)

+ВРЕМЯНКА (1 + 0,5 + 0,5 ком.)
Дом расположен в хорошем районе. Отличные соседи.
","""42.845""","""74.6386""",https://www.house.kg/details/55572725ff1ee553e6c29-81552403,
"2-комн. кв., 56 м2","Бишкек, Панфилова/Боконбаева",$ 50 000,4 240 000 сом,$ 893/м2,75 714 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,748,от собственника,"кирпичный, 2018 г.",9 этаж из 15,,56 м2,,элитка,центральное,евроремонт,возможно подключение,,совмещенный,балкон,бронированная,рядом охраняемая стоянка,,,,,,,,"домофон,                                             видеонаблюдение",полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             кухня-студия,                                             кондиционер,                                             встроенная кухня,                                             тихий двор",,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю новую двухкомнатную квартиру с площадью 56м2, с дизайнерским ремонтом в золотом квадрате Панфилова/ боконбаева.
","""42.8645""","""74.6006""",https://www.house.kg/details/19782905fcf2e81c126d8-28168025,
"2-комн. кв., 43 м2",Бишкек,$ 33 500,2 840 800 сом,$ 779/м2,66 065 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,501,от агента,кирпичный,4 этаж из 4,,43 м2,,сталинка,центральное,,,,,,,,,,,,,,,,,,,,,есть,,"

                                    Описание от продавца                            
Продаётся 2 ком.квартира по Манаса/Боконбаева.
4 этаж из 4. С крышей проблем нет.
С ремонтом, окна пластиковые, сан узел в 100% кафеле.
Цена: 33.500$ не окончательно
Тел. 0555240296 и 0703120270
","""42.8667""","""74.587""",https://www.house.kg/details/52402155fca5db7e270d1-11818154,
"2-комн. кв., 107 м2","Бишкек, Гражданска 2/Чуй/Алматинская",$ 58 850,4 990 480 сом,$ 550/м2,46 640 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,306,от собственника,монолитный,13 этаж из 14,,"107 м2, кухня: 20 м2",,элитка,центральное,под самоотделку (псо),,,2 с/у и более,,,,,,,,,магистральный,,"домофон,                                             кодовый замок",,,3 м.,,,,,"

                                    Описание от продавца                            
Продам 2-х комн. кв., 107 кв.м 14/13 этаж, СК «Авента Строй» ЖК «Караван Сарай» Адрес ул. Чуй/Алма-Атинка (рядом стоматология №4）Цена 550$ за 1кв.м/58800$
Застройщик «Авента Строй»,  Жилой комплекс «Караван Сарай»
Строение: монолитно-кирпичное, наполнение: кирпичное. Фасад керамогранит .
Квартира подсамоотделку
Этажность: 14 - квартира на 13 этаже.
Количество подъездов: 2
Коммуникации все центральные.
Высота потолков: 3 м, Окна восточная сторона
Жилой комплекс – Бизнес класса
Безопасность: огражденная территория, видеодомофоны, система пожарной безопасности.
Дом завершен частично заселен
Квартира не угловая, комнаты изолированы, сан.узел раздельный, панорамные окна, индивидуальная планировка, можно переделать в 3-х комн. кв.
Адрес ул. Чуй/Алма-Атинка(рядом стоматология №4 ). 
Тел: 0755999998
","""42.8758""","""74.6365""",https://www.house.kg/details/55437225fc8f0c62d7ee3-74949001,
"2-комн. кв., 63 м2","Бишкек, Тунгуч м-н, Горького 40",$ 62 000,5 257 600 сом,$ 984/м2,83 454 сом/м2,Добавлено 3 месяца назад,,222,от собственника,"монолитный, 2019 г.",4 этаж из 12,,63 м2,,элитка,центральное,хорошее,,,2 с/у и более,,бронированная,,,,,,,возможно подключение,,"домофон,                                             охрана,                                             кодовый замок",полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             встроенная кухня,                                             кладовка",,,,,"""42.8535""","""74.6879""",https://www.house.kg/details/56217245ff1c394d3d881-11808510,
"3-комн. кв., 83 м2","Бишкек, Ахунбаева 183/Мира",$ 61 000,5 172 800 сом,$ 735/м2,62 323 сом/м2,Добавлено 3 месяца назад,,329,от агента,кирпичный,3 этаж из 7,,83 м2,,элитка,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
3к Элитка 83м²
Ахунбаева/Мира
На 3 этаже из 7
Коммуникации центральные
Евроремонт

Срочная цена 61000$
","""42.8439""","""74.5848""",https://www.house.kg/details/97668185ff1a0d93cb0a2-10971027,
"2-комн. кв., 82 м2","Бишкек,  ул. гидростроительная 11",$ 30 000,2 544 000 сом,$ 366/м2,31 024 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,706,от собственника,"монолитный, 2020 г.",2 этаж из 9,,"82 м2, жилая: 75 м2, кухня: 11 м2",,элитка,,хорошее,нет,,раздельный,балкон,металлическая,паркинг,,,,,,магистральный,,домофон,частично меблирована,ламинат,3 м.,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             тихий двор",,,рассмотрю варианты,"

                                    Описание от продавца                            
!!Продаю 2-х комн кв !!!!!
Адрес г Бишкек Эне Сай 
Дом 4 х этажный 
Квартира находиться на 2 этаже не угловая 
Два балкона 
82кв 
Рядом базарчик , школы . 
Цена 30тыс $ варианты обмена приветствуется на авто . С доплатой мне 
Тел . Не серьёзных попрошу не беспокоить !
","""42.8484""","""74.5922""",https://www.house.kg/details/32395465fef1a0d3a2be0-41509262,
"2-комн. кв., 43 м2","Бишкек, Тыныстанова 8а/Ахунбаева",$ 39 000,3 307 200 сом,$ 907/м2,76 912 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,331,от собственника,"кирпичный, 1964 г.",3 этаж из 4,,43 м2,,хрущевка,центральное,хорошее,возможно подключение,проводной,совмещенный,балкон,деревянная,рядом охраняемая стоянка,,,,,,магистральный,,,частично меблирована,дерево,,,,,,,"""42.8416""","""74.6051""",https://www.house.kg/details/448045fc5131f3c9716-14357700,
"Дом, 2-комн., 50 м2","Бишкек, Рабочий Городок, Челюскина 16/Гагарина",$ 40 000,3 392 000 сом,$ 800/м2,67 840 сом/м2,Добавлено 3 месяца назад,,551,от собственника,другое,,1,"50 м2, жилая: 2 м2, кухня: 1 м2",4 соток,,смешанное,хорошее,возможно подключение,проводной,совмещенный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             сад,                                             хозпостройки,                                             навес",нет,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Пол дома, ремонт 2019,уютный,теплый пол,место для авто, добрые соседи, огород большой можно построить большой дом,зимой тепло ,летом прохладно, стены толстые,  сан узел совмещенный, 100%кафель,двор асфальт и многое др.
","""42.8544""","""74.563""",https://www.house.kg/details/89504895ff162912697f3-16542598,
"Дом, 5-комн., 72 м2","Бишкек, Ялтинская 87 87/Салиева Алматинская",$ 90 000,7 632 000 сом,$ 1 250/м2,106 000 сом/м2,Добавлено 3 месяца назад,,302,от собственника,"кирпичный, 1960 г.",,1,"72 м2, жилая: 72 м2, кухня: 72 м2",10 соток,,смешанное,требует ремонта,есть,проводной,нет,,,,,,центральная,скважина,есть,магистральный,,кодовый замок,частично меблирована,дерево,25 м.,"баня,                                             сад,                                             хозпостройки",,,с доплатой покупателя,"

                                    Описание от продавца                            
Срочно продаю Дом, с хорошим участком,в хорошем месте. под строительство.
","""42.885""","""74.6412""",https://www.house.kg/details/56024885ff1613f6dc091-44863846,
"4-комн. кв., 132 м2","Бишкек, Боконбаева 183",$ 95 000,8 056 000 сом,$ 720/м2,61 030 сом/м2,Добавлено 3 месяца назад,,384,от собственника,"монолитный, 2021 г.",10 этаж из 15,,132 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3.2 м.,,есть,,рассмотрю варианты,,"""42.8682""","""74.5845""",https://www.house.kg/details/22550955ff15a8aca7143-01352856,
"1-комн. кв., 30 м2","Бишкек, Политех , мира /ахунбаева 69",$ 25 000,2 120 000 сом,$ 833/м2,70 667 сом/м2,Добавлено 3 месяца назад,,427,от собственника,"монолитный, 2015 г.",4 этаж из 12,,"30 м2, жилая: 30 м2, кухня: 30 м2",,элитка,центральное,хорошее,,,,,,,,,,,,магистральный,,,,,3.14 м.,,есть,есть,,,"""42.8437""","""74.5856""",https://www.house.kg/details/5457205ff15426a060f9-61509964,
"Дом, 6 и более комнат, 13 м2","Бишкек, Ак-Орго ж/м, кайберен/омур",$ 65 000,5 512 000 сом,$ 5 000/м2,424 000 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,218,от собственника,"кирпичный, 2014 г.",,1,"13 м2, жилая: 13 м2, кухня: 13 м2",5 соток,,центральное,евроремонт,возможно подключение,проводной,раздельный,,,,,,центральная,центральное водоснабжение,есть,возможно подключение,,,пустая,паркет,,"пластиковые окна,                                             сад,                                             веранда",,,,,"""42.8378""","""74.5142""",https://www.house.kg/details/75771305febab4abea4c8-82884482,
"2-комн. кв., 76 м2","Бишкек, 7 м-н, Сухэ-Батора/Аалы Токомбаева",$ 46 500,3 943 200 сом,$ 612/м2,51 884 сом/м2,Добавлено 3 месяца назад,,371,от собственника,кирпичный,11 этаж из 13,,76 м2,,элитка,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 2-комнатная квартира в 7 мкр за Глобусом. В кирпичном доме,все коммуникации центральные и газ.
","""42.8241""","""74.6174""",https://www.house.kg/details/29798005ff0a93c83b644-48916126,
"2-комн. кв., 68 м2","Бишкек, курчатова",$ 43 000,3 646 400 сом,$ 632/м2,53 624 сом/м2,Добавлено 3 месяца назад,,284,от собственника,"панельный, 2019 г.",9 этаж из 9,,"68 м2, жилая: 68 м2",,106 серия улучшенная,центральное,евроремонт,,,раздельный,,,,,,,,,возможно подключение,,"решетки на окнах,                                             домофон,                                             кодовый замок,                                             видеонаблюдение",частично меблирована,паркет,3 м.,улучшенная,,есть,,,"""42.8066""","""74.5695""",https://www.house.kg/details/50704965ff09a62875e87-80906719,
"1-комн. кв., 42 м2","Бишкек, Кулатова/Элебаева",$ 29 500,2 501 600 сом,$ 702/м2,59 562 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,304,от агента,монолитный,4 этаж из 15,,"42 м2, жилая: 35 м2, кухня: 7 м2",,элитка,центральное,под самоотделку (псо),,,,,,,,,,,,,,,,,3 м.,,есть,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю 1 комнатную квартиру в хорошем районе города Бишкек
Площадь: 42 м²
Цена: 29500$ 
☎️0500158070
Рассрочка: до 28 месяц
","""42.8592""","""74.6134""",https://www.house.kg/details/98257465feff083765818-79068852,
"3-комн. кв., 64 м2","Бишкек, Аламедин-1 м-н 9/рынок Чолпон",$ 54 500,4 621 600 сом,$ 852/м2,72 213 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,360,от собственника,кирпичный,2 этаж из 5,,64 м2,,105 серия,центральное,евроремонт,есть,проводной,2 с/у и более,лоджия,бронированная,паркинг,,,,,,магистральный,,,полностью меблирована,ламинат,1.8 м.,,,есть,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 3комнатную квартиру евро ремонт с мебелью в районе Аламедин1 возле рынка Чолпон 2этаж ,не угловая
","""42.8773""","""74.6845""",https://www.house.kg/details/82388985fe33078b95df4-73933907,
"2-комн. кв., 50 м2","Бишкек, Логвиненко 55/Фрунзе",$ 55 000,4 664 000 сом,$ 1 100/м2,93 280 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,461,от собственника,монолитный,8 этаж из 16,,"50 м2, жилая: 50 м2, кухня: 10 м2",,элитка,центральное,евроремонт,возможно подключение,проводной,совмещенный,нет,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             сигнализация,                                             охрана,                                             видеонаблюдение",полностью меблирована,ламинат,3.2 м.,,,,с доплатой покупателя,"

                                    Описание от продавца                            
Продается квартира 50 кв м в центре города.  С мебелью. Логвиненко 55. Ориентир Панфилов Парк. Жилой комплекс Панфилов. СК Борсан констракшн.  На территории комплекса находится детская площадка, парковка, магазин Фрунзе, аптеки, кафе. Рядом школа, поликлиника, детский сад, роддом и тд.  Все коммуникации центральные. Квартира на 8 этаже из 16. 2 лифта. Охрана, видеонаблюдение. Все вопросы по тел.
","""42.8822""","""74.6003""",https://www.house.kg/details/30743435fcdeb6c8695e7-31927319,
"1-комн. кв., 21 м2","Бишкек, Кок-Жар ж/м",$ 5 000,424 000 сом,$ 238/м2,20 190 сом/м2,Добавлено 12 месяцев назад,Поднято 3 месяца назад,1805,от собственника,панельный,1 этаж из 1,,"21 м2, жилая: 20 м2, кухня: 10 м2",,малосемейка,электрическое,хорошее,нет,проводной,совмещенный,,,,,,,,,возможно подключение,,,,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Вагон .   Вагон. 21 кв м бир бөлмөлүү ""квартира"" сатам. Вагондон жасалган. Каалаган жериңизге сүйрөп барып коюп аласыз. Ичинде ысык-суу, ванна, раковина, туалет, ысык пол, ашкана, идиш жууган жай, кир жуугуч машине ж.б . Орнотулган. 2 бөлмөлүү.  Уктоочу жана тамактануучу жай. Бишкектен 50 км алыстыкта жайгашып, 2 жылдан бери  конок үй катары кызмат кылды. Кышкысын жыпжылуу.  Азыркы учурда жашап жатабыз. Сатып aлaм дегендерге мартта бошотуп берем. Вотсаппка жазгыла. . Баасы 5000$ . Кеми жок. Акыркы баасы. Ошончого жасалган.
","""42.8329""","""74.6413""",https://www.house.kg/details/81944045e91d2cf1b34d5-66970612,
"4-комн. кв., 137 м2","Бишкек, 7 м-н, Токомбаева",$ 185 000,15 688 000 сом,$ 1 350/м2,114 511 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,527,от собственника,"монолитный, 2015 г.",6 этаж из 12,,137 м2,,элитка,центральное,хорошее,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 4х комнатную квартиру 
7 небо 
Авангард Стиль
Год-2015 
Общая площадь - 137 кв. 
Документы - техпаспорт.
Количество жилых комнат - 4
Этаж - 6/12
Тип строения - монолитный.
Санузел - 2 раздельных
Состояние – хорошее .
Мебель +техника –полностью.
Коммуникации - центральные.
Отопление -центральное.
Газ-Магистральный 
Цена - 185000$
теплые полы полностью, домофон,видеодомофон,охрана,
тихий двор.
Развитая инфраструктура всё в пешей доступности!
","""42.8254""","""74.6167""",https://www.house.kg/details/6792545fdcfa4a14b049-35810792,
"3-комн. кв., 120 м2","Бишкек, 7 м-н",$ 105 000,8 904 000 сом,$ 875/м2,74 200 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,588,от собственника,кирпичный,8 этаж из 8,,120 м2,,индивид. планировка,,хорошее,,,2 с/у и более,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся  3 комнатная квартира  с ремонтом+мебель! 
Площадь 120 м2
7 микрорайон (ориентир турецкое кафе Sarya)

Квартира не угловая.
8 из 8
Все коммуникации центральные, 
2 сан.узла.
Дом огрожден, есть охрана, отличный двор с детской площадкой
Отличное месторасположение
В шаговой доступности: гипермаркет Глобус, рынок Ортосай, парк Асанбай, школа, садик, аптеки.
Цена: 105 000 $
","""42.8244""","""74.6165""",https://www.house.kg/details/26533685fe3a61a359057-68182310,
"3-комн. кв., 124 м2","Бишкек, 5 м-н",$ 115 000,9 752 000 сом,$ 927/м2,78 645 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,258,от собственника,кирпичный,9 этаж из 10,,124 м2,,элитка,,хорошее,,,,,,,,,,,,,,,,,,,,,обмен не предлагать,"

                                    Описание от продавца                            
Продаю 3х комнатную квартиру 
5мкр
СК Борсан
Год- 2017
Общая площадь - 123.6 кв. 
Документы - техпаспорт.
Количество жилых комнат - 3
Этаж - 9/10
Тип строения - монолитный.
Санузел - 2 с/у.
Состояние – евроремонт.
Мебель +техника – полностью.
Коммуникации - центральные.
Отопление - ТЭЦ.
Цена - 115000$
Территория благоустроенная, огороженный двор и детская площадка, зона барбекю, круглосуточное видео наблюдение, лифт большой на чипе. 
В шаговой доступности детские сады, школы, кружки, спортивные комплексы, аптеки, кафе, рестораны, Космопарк, Бета-Сторис2, Орто-Сайский базар. Все для комфортной и безопасной жизни.
Обмен не предлагать
","""42.8323""","""74.6221""",https://www.house.kg/details/58780725fe57f6c73fff0-99342317,
"3-комн. кв., 136 м2","Бишкек, Уметалиева/Рыскулова",$ 180 000,15 264 000 сом,$ 1 324/м2,112 235 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,273,от собственника,"монолитный, 2015 г.",4 этаж из 10,,136 м2,,элитка,центральное,евроремонт,,,совмещенный,,бронированная,,,,,,,магистральный,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 3х комнатную квартиру 
Уметалиева/Рыскулова 
Авангард Стиль
Общая площадь - 136 кв. 
Документы - техпаспорт.
Количество жилых комнат - 3
Этаж - 4/10
Тип строения - Кирпич.
Санузел - раздельный.
Состояние – евроремонт .
Мебель +техника – частично .
Коммуникации - центральные.
Отопление - ТЭЦ.
Цена - 180000$
Развитая инфраструктура всё в пешей доступности!
","""42.8792""","""74.582""",https://www.house.kg/details/27361035fd8e79c838360-37580670,
"2-комн. кв., 43 м2","Бишкек, Юг-2 м-н",$ 37 500,3 180 000 сом,$ 872/м2,73 953 сом/м2,Добавлено 3 месяца назад,,268,от собственника,кирпичный,2 этаж из 3,,43 м2,,индивид. планировка,центральное,хорошее,,,,,,,,,,,,,,,частично меблирована,,,,,,,"

                                    Описание от продавца                            
Продается 2-х комнатная квартира 
Индивид
в юг 2
Общая площадь-43м2
Этаж-2/3,неугловая
Все коммуникации центральные
Техпаспорт на руках
Квартира с ремонтом, мебель и бытовая техника остаются частично 
Вся инфраструктура в шаговой доступности!
Цена 37500
","""42.8595""","""74.6097""",https://www.house.kg/details/5013005ff06049b30672-25758514,
"Дом, 5-комн., 100 м2","Бишкек, Дордой ж/м, Ибраимова 155",$ 65 000,5 512 000 сом,$ 650/м2,55 120 сом/м2,Добавлено 10 месяцев назад,Поднято 3 месяца назад,633,от собственника,другое,,1,100 м2,7 соток,,на твердом топливе,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю дом в ж/м Дордой 1 ул. Ибраимова 155. Рядом с рынком Аксуу и Финка Банк.   участок 7соток. Дом с ремонтом. Можно под бизнес рядом склады и ангары. документы все есть. просим  65 000$
","""42.9428""","""74.6265""",https://www.house.kg/details/38903505ec7861e5098a6-39996505,
"3-комн. кв., 94 м2","Бишкек, Логвиненко 8/2/Боконбаева",$ 108 000,9 158 400 сом,$ 1 149/м2,97 430 сом/м2,Добавлено 3 месяца назад,,325,от собственника,"кирпичный, 2017 г.",8 этаж из 9,,"94 м2, жилая: 94 м2",,элитка,центральное,евроремонт,есть,проводной,раздельный,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Орион ордо (Куттубай). очень теплая квартира. Частично остается мебель. Заходи и живи. В самом центре города. Логвиненко 8/2 Этаж 8/9. Подземный паркинг за отдельную сумму. Охран.двор.Все ком.услуги центр. 0501-13-33-33
","""42.8653""","""74.5973""",https://www.house.kg/details/43092305ff03bb02ac878-71050826,
"Участок, 5 соток","Бишкек, Ак-Ордо ж/м, Гул ордо 4/17/Биримдик",$ 23 000,1 950 400 сом,,,Добавлено 9 месяцев назад,Поднято 3 месяца назад,646,от собственника,,,,,5 соток,,,,,,,,,,"свет,                                             газ,                                             канализация",в городе,,,,,,,,,,фундамент,,,рассмотрю варианты,"

                                    Описание от продавца                            
Продается земельный участок в уникальном месте в Ленинском районе г.Бишкек, жилой массив «Ак-Ордо», на улице Гул-Ордо. Площадь участка составляет 5 соток. На участке имеется уже готовый фундамент под строительство дома размером 9x10 кв. метров.
Имеется возможность подключения водопроводу центральной электросети, магистральному газопроводу в плане прокладка канализации. На расстоянии около 100 метров от участка находится остановка маршрутного транспорта №139.
Все документы на право собственности в наличии («Красная книга»). Продажа от собственника (без посредников). Рассмотрю варианты обмена на квартиру в пределах в г. Бишкек. 
Цена участка: $ 23000 (торг уместен в разумных пределах).

звоните по номеру 0508990014
","""42.8358""","""74.4986""",https://www.house.kg/details/56176985eef0e08ab9e72-65739494,
"Дом, 6 и более комнат, 190 м2","Бишкек, Кок-Жар ж/м, кокжар",$ 140 000,11 872 000 сом,$ 737/м2,62 484 сом/м2,Добавлено 3 месяца назад,,317,от собственника,"кирпичный, 2014 г.",,2,"190 м2, жилая: 127 м2, кухня: 20 м2",4 соток,,на газе,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
продаю особняк с газовым отоплением , подвал оборудован под шв цех. От Алматинской 150 м
","""42.8461""","""74.6381""",https://www.house.kg/details/28603775ff02aaf15c445-44063916,
"3-комн. кв., 83 м2","Бишкек, ибраимова 40/Боконбаева",$ 58 000,4 918 400 сом,$ 699/м2,59 258 сом/м2,Добавлено 3 месяца назад,,329,от собственника,панельный,5 этаж из 9,,"83 м2, жилая: 70 м2, кухня: 15 м2",,106 серия,центральное,евроремонт,возможно подключение,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,автономный,,,полностью меблирована,линолеум,,,,,обмен не предлагать,"

                                    Описание от продавца                            
продаю 3х комнатную кв 106 серия + сушилка в центре Правда/Боконбаева с ремонтом
","""42.8674""","""74.6162""",https://www.house.kg/details/21502075ff0297f34dc76-95878364,
"2-комн. кв., 64 м2","Бишкек, Ажыбек Баатыр 3/1/Джунусалиева",$ 41 000,3 476 800 сом,$ 641/м2,54 325 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,275,от собственника,"монолитный, 2018 г.",2 этаж из 9,,64 м2,,элитка,на газе,под самоотделку (псо),есть,проводной,совмещенный,балкон,металлическая,паркинг,,,,,,возможно подключение,,охрана,пустая,,3 м.,"кухня-студия,                                             тихий двор",,,обмен на авто,"

                                    Описание от продавца                            
Оочень Срочно Продаю 2х квартиру!

Элитный дом комфорт класса “SkyDom” продаём последнию 2х комнатные квартиру в ГОТОВОМ доме ПСО по ОЧЕНЬ выгодной цене!!!

 Это единственный жилой комплекс где будет свой бассейн, фитнес центр, все коммерческие организации, наружный Синема, и другие!

Все окна и двери из Турции 3х камерные, дом очень тёплый, бесшумный турецкий лифт!

Лучшая ЛОКАЛИЗАЦИЯ 

По ул. Ажыбек Баатыра пер. с Джунусалиева (район старый аэропорт), рядом школа «Ломоносов» и прям напротив новая школа «BRIGHT» также садики и универ «Манас».

Дом заселён почти на 50% имеется подземная парковка!

2х кв 64 м2, 2-й этаж м2 по 650$ (окна выходит на юг)

Общий 10 этажей (10-й этаж пентхаус).

Также рассмотрим варианты обмена на авто с доплатой нам!

 
Агенством не беспокоить!
0702-92-32-55
","""42.8403""","""74.5795""",https://www.house.kg/details/48431245fd6eec1491636-56466723,
"4-комн. кв., 130 м2","Бишкек, Ажыбек Баатыра (район старый аэропорт), рядом с Ак Кеме",$ 78 000,6 614 400 сом,$ 600/м2,50 880 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,355,от агента,"монолитный, 2018 г.",9 этаж из 9,,130 м2,,элитка,на газе,под самоотделку (псо),,,,,,паркинг,,,,,,,,,пустая,,3 м.,,,,,"

                                    Описание от продавца                            
Элитный дом комфорт класса “SkyDom Bishkek” продаём последние две 2-х и 4-х комнатные квартиры в ГОТОВОМ доме ПСО по ОЧЕНЬ выгодной цене!!!

Скайдом это жилой многофункциональная комплекс которая включает объекты не выходя за пределы комплекса пользоваться услугами фитнеса, СПА Салона, маркета, кафе-ресторана, также крытый бассейн, Наружный Синема, детские игровые площадки, баскетбольный и волейбольный площадка и т.д.

По ул. Ажыбек Баатыра (район старый аэропорт), рядом с Ак Кеме!

Прям напротив Школа Сейтек, и новая школа «Bright».

Материал постройки газосликат, утепленный, снаружи травертин
Дом заселён почти на 50%

Остались последние 2 квартиры!!!

4х кв 130 м2, 9-й этаж м2 по 600$
2х кв 64 м2, 6-й этаж м2 по 650$

Общий 10 этажей (10-й этаж пентхаус).

Также рассмотрим варианты обмена на авто с доплатой нам!

По всем вопросам обращайтесь по телефону: 0702-92-32-55
","""42.8403""","""74.5795""",https://www.house.kg/details/81507285fc4b88b67e3b3-08693049,
"Коммерческая недвижимость, 238 м2","Бишкек, Джал-30 м-н",$ 200 000,16 960 000 сом,$ 840/м2,71 261 сом/м2,Добавлено 3 месяца назад,Поднято 3 месяца назад,295,от собственника,"кирпичный, 2018 г.",,9,238 м2,4.2 соток,,центральное,евроремонт,есть,проводной,,,,,,,,,,,,"кодовый замок,                                             видеонаблюдение",,,2.5 м.,,нет,есть,рассмотрю варианты,"

                                    Описание от продавца                            
 ПРОДАЮ ПОЛУ-ПОДВАЛЬНОЕ ПОМЕЩЕНИЕ СРЕДНИЙ ДЖАЛ
ПО ТЫНАЛИЕВА, 1-ЛИНИЯ
 ОБЩИЙ 238 М2 С РЕМОНТОМ 
 М2 ВСЕГО ЗА 840$
 ИДЕАЛЕН ПОД ФИТНЕС ИЛИ ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР
 ВСЕ КОММУНИКАЦИИ ЦЕНТРАЛЬНЫЕ, ПОДКЛЮЧЕНЫ
 МОЖНО ПОД ЛЮБОЙ БИЗНЕС
 ОБМЕН РАССМОТРИМ НА АВТО И КВАРТИРЫ
 ПРОСИМ 200.000$ ТОРГ ЗА НАЛИЧКУ
 ЮРИДИЧЕСКИ ЧИСТ
 0702-92-32-55
","""42.8357""","""74.5685""",https://www.house.kg/details/84424975fe9659cde9413-23988098,
"Дом, 5-комн., 70 м2","Бишкек, темировская 28 б",$ 50 000,4 240 000 сом,$ 714/м2,60 571 сом/м2,Добавлено 4 месяца назад,Поднято 3 месяца назад,327,от собственника,кирпичный,,1,70 м2,,,смешанное,требует ремонта,есть,,раздельный,,,,,,,центральное водоснабжение,есть,магистральный,,,частично меблирована,дерево,2 м.,,,,,"

                                    Описание от продавца                            
продаю большой дом. пять комнат. теплый гараж. газ. баня. сараи. огород. три погреба один под гаражом. обращаться по телефонам 0553388373 или 0556388373
","""42.8923""","""74.5304""",https://www.house.kg/details/81958145fba1ad0b1e738-64658984,
"Дом, 3-комн., 90 м2","Бишкек, Ак-Ордо ж/м, Касиет 21/Тагай-Бий",$ 65 000,5 512 000 сом,$ 722/м2,61 244 сом/м2,Добавлено 10 месяцев назад,Поднято 3 месяца назад,573,от собственника,"кирпичный, 2012 г.",,1,"90 м2, жилая: 70 м2, кухня: 10 м2",5 соток,,смешанное,,,проводной,,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,,ламинат,,"пластиковые окна,                                             сад,                                             хозпостройки,                                             навес,                                             гараж",,,рассмотрю варианты,,"""42.8512""","""74.5007""",https://www.house.kg/details/3485745ec072a5996dd6-36780746,
