title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"Дом, 4-комн., 77 м2","Бишкек, Арча-Бешик ж/м, Кара-Кужур 92/2А/Чортекова",$ 55 000,4 664 000 сом,$ 714/м2,60 571 сом/м2,Добавлено 4 месяца назад,Поднято 2 месяца назад,1307,от собственника,"кирпичный, 2020 г.",,1,77 м2,2 соток,,центральное,евроремонт,возможно подключение,проводной,,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,частично меблирована,паркет,2.8 м.,пластиковые окна,нет,есть,с доплатой покупателя,"

                                    Описание от продавца                            
Продаю новый дом ж/м Арча-Бешик
Дом кирпичный, снаружи утеплённый 
Фундамент 1.5 метр, от земли 1-метр
С Евро ремонтом, мебель оставлю частично
Адрес: г.Бишкек. Чортекова / Кара-кужур 92.2а

Участок 2-соток, площадь 77м2
Зал-20 кв/м2. Кухня-11. Прихожая-9
Спальня-13.8. Детская-14. С/у-3.0 кв/м2
Двор из брусчатки. Есть место для Очок-каны 
Коммуникации: вода, газ, свет, канализация
Отопление: свет и уголь 
Можно подключить и газовый котёл 

Срочная цена: 55.000 $$$ не большой торг
Тел: 0700 77 94 77. Б/П. Хозяин дома
Обмен 1-2 ком.кв с доплатой мне
","""42.8278""","""74.5436""",https://www.house.kg/details/18006255fcc6b5c6f4117-40518293
"Дом, 6 и более комнат, 311 м2","Бишкек, Кропоткина/Ахунбаева",$ 250 000,21 200 000 сом,$ 804/м2,68 167 сом/м2,Добавлено 2 месяца назад,,234,от собственника,"кирпичный, 2014 г.",,3,311 м2,4.3 соток,,смешанное,евроремонт,возможно подключение,проводной,2 с/у и более,,,,,,центральная,центральное водоснабжение,есть,магистральный,,"решетки на окнах,                                             домофон,                                             кодовый замок",полностью меблирована,паркет,3 м.,"пластиковые окна,                                             навес,                                             3 фазы",,есть,,"

                                    Описание от продавца                            
Продаем добротный, уютный, теплый  дом, строили для себя. Продается в связи с переездом.
","""42.8427""","""74.6269""",https://www.house.kg/details/9979917600d0e535b24f9-88338513
"1-комн. кв., 36 м2","Бишкек, Средний Джал м-н, Минжылкиева 10",$ 28 000,2 374 400 сом,$ 778/м2,65 956 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,289,от собственника,"кирпичный, 2013 г.",5 этаж из 12,,36 м2,,индивид. планировка,,хорошее,нет,,совмещенный,застекленный балкон,бронированная,паркинг,,,,,,нет,,домофон,,ламинат,,"пластиковые окна,                                             неугловая,                                             кладовка",,,,"

                                    Описание от продавца                            
Продаю 1 ком. кв средний Джал этаж 12/5  площадь 36кв. м + кладовка на плащадке. Возможно продажа подземного паркинга 0551 680 406, 0772 789 333, 0700 84 84 76.
","""42.8373""","""74.5659""",https://www.house.kg/details/46960705fd70daf8d4a73-57367265
"2-комн. кв., 70 м2","Бишкек, Достук м-н, Кеминская 2/2/Профсоюзная",$ 32 800,2 781 440 сом,$ 469/м2,39 735 сом/м2,Добавлено 2 месяца назад,,342,от собственника,"кирпичный, 2019 г.",2 этаж из 5,,"70 м2, жилая: 40 м2, кухня: 15 м2",,106 серия улучшенная,электрическое,евроремонт,нет,проводной,раздельный,лоджия,бронированная,,,,,,,возможно подключение,,домофон,полностью меблирована,ламинат,2.8 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",,,рассмотрю варианты,"

                                    Описание от продавца                            
🔥🔥🔥🤩Очень Срочно! Б/П. В связи со СРОЧНОСТЬЮ продаю 2-х ком кв Новый Дом! Общая площадь - *70м2*.(кухня - 15м2). Планировка лучше чем 106-серия. 3 лоджии застекленные + утепленные + расширенные. 2-ой этаж из 5-ти. Угловая (утепленная снаружи).🤩 Комнаты изолированные, сан узел раздельный.Квартира полностью с ЕВРО ремонтом!😍😍😍. Абсолютно новый ремонт. Остаётся частично мебель. Адрес: мкр. Достук. Цена:32.800$. Дом пока не сдан в эксплуатацию. Тех паспорт будет первый квартал 2021-года. Срочно! Срочно! Срочно!🤑 Тел: 0706161585
","""42.8869""","""74.5344""",https://www.house.kg/details/9885905600c75ae9e0740-02309200
"Дом, 6 и более комнат, 122 м2","Бишкек, Ала-Тоо м-н",$ 69 000,5 851 200 сом,$ 566/м2,47 961 сом/м2,Добавлено 2 месяца назад,,176,от собственника,"другое, 2020 г.",,,"122 м2, жилая: 102 м2, кухня: 16 м2",5.25 соток,,автономное,евроремонт,есть,проводной,2 с/у и более,,,,,,,центральное водоснабжение,есть,магистральный,,,частично меблирована,ламинат,,"пластиковые окна,                                             сад,                                             хозпостройки,                                             гараж",,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю дом 122 м2 в жм Ала-Тоо на центральной дороге.

В доме 3 спальни, зал, гостинная, кухня, холл, тамбур, 2 санузла, 2 ванных комнат +прачечная.

Дом утеплён, температура стабильно +21 (по желанию можете увеличить ;), полы деревянные покрыты ламинатом, отапливается италянским газовым котлом +есть угольная и электрическая печь).

Участок 5,25 соток, огорожен, есть гараж и теплое, чистое  помещение под малый бизнес.

Красная книга и другие документы в порядке.

Рядом школа, садики, магазины, аптеки и мед пункт +проводной телефон и интернет.

Общественный транспорт в достаточном количестве.

Звоните 0500-23-0700 😉
","""42.8624""","""74.4737""",https://www.house.kg/details/6561807600c4b3c5415f4-28810143
"2-комн. кв., 75 м2","Бишкек, 5 м-н, ул. Каралаева",$ 50 250,4 261 200 сом,$ 670/м2,56 816 сом/м2,Добавлено 2 месяца назад,,176,от собственника,монолитный,11 этаж из 12,,75 м2,,элитка,центральное,,нет,,раздельный,,,,,,,,,,,"видеодомофон,                                             охрана",,,3.3 м.,"неугловая,                                             комнаты изолированы",,,,"

                                    Описание от продавца                            
Квартира 75кв2. 11 этаж. Двушка. Находится в 5 м-н. Вид на горы и Ботанический сад. Просторная, высокие потолки. 670$ за кв2. Дизайнерский проект в подарок! На изображении проект для этой квартиры. Квартира под ПСО. Рядом: гипермаркет, маленький продуктовый магазин,автомойка,парковка,шиномонтаж, ряд кафе, кальянная,заправка,школа. Брали для себя, внезапно уезжаем. Торг уместен.
","""42.8334""","""74.6318""",https://www.house.kg/details/5850803600c372f52ac32-10935034
"3-комн. кв., 125 м2",Бишкек,$ 112 500,9 540 000 сом,$ 900/м2,76 320 сом/м2,Добавлено 2 месяца назад,,142,от собственника,кирпичный,8 этаж из 10,,125 м2,,индивид. планировка,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Цена:  900 USD
Город: Бишкек
Площадь (кв.м.): 125
Этаж: 8
Обмен: Да
Готовность: Строительство
Продаётся квартира от Застройщика: Авангард стиль.
ЖК» «Арбат»
2х- комнатная (55м2)
3х- комнатная (125м2)
этаж-8
4х- комнатная (145м2)
этаж-10
цена 900$/м2 Торг
Рассмотрим варианты обмена на авто или вторичного жилья (недвижимость меньшей стоимостью)
Варианты рассрочки с не менее 50% первоначального взноса в удобные для вас сроки
Тел: 0703141819 (есть what's up)
0555492055
0779652899
(От Партнёра Авангард стиль)
","""42.9082""","""74.5786""",https://www.house.kg/details/2950938600c273993edf6-31927994
"Дом, 5-комн., 77 м2","Бишкек, Ак-Босого ж/м, адырская",$ 44 000,3 731 200 сом,$ 571/м2,48 457 сом/м2,Добавлено 2 месяца назад,Поднято 2 месяца назад,234,от собственника,кирпичный,,1,"77 м2, кухня: 15 м2",7 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
продается дом 7соток 3 спальни зал коридор прихожка, +времянка большой огород начало улицы не далеко от остановки 1--2 минуты есть хоз постройки тапчан👍 вода свет газ центр канализация проводять.
","""42.9404""","""74.5982""",https://www.house.kg/details/1831155ffec4c67c5b90-25281865
"3-комн. кв., 112 м2","Бишкек,  ул. А. Токомбаева пер. Сухэ Батора (за Гостиницей Жаннат",$ 128 800,10 922 240 сом,$ 1 150/м2,97 520 сом/м2,Добавлено 2 месяца назад,,215,от агента,кирпичный,2 этаж из 10,,112 м2,,индивид. планировка,центральное,,,,,,,,,,,,,,,,,,,,,,,,"""42.8219""","""74.6165""",https://www.house.kg/details/4401120600bec04c73844-51977048
"2-комн. кв., 61 м2","Бишкек, Джал-23 м-н (Нижний Джал)",$ 57 000,4 833 600 сом,$ 934/м2,79 239 сом/м2,Добавлено 2 месяца назад,,171,от собственника,кирпичный,8 этаж из 11,,61 м2,,элитка,центральное,евроремонт,,,раздельный,,бронированная,паркинг,,,,,,,,,,,,,,,,,"""42.8434""","""74.5644""",https://www.house.kg/details/9633513600be4026ddb21-21086253
"3-комн. кв., 65 м2","Бишкек, чуй 155",$ 41 000,3 476 800 сом,$ 631/м2,53 489 сом/м2,Добавлено 2 месяца назад,,257,от собственника,"монолитный, 2022 г.",5 этаж из 10,,65 м2,,элитка,на газе,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаётся квартира 3-ком.(студия) 105 серия 5/5 этаж 
(65м2) С мебелью но чуть требуется ремонт. 
Адрес: Чуй пер. Турусбекова
Цена: 41,000$
Тел. +996703141819
","""42.8193""","""74.6038""",https://www.house.kg/details/4742841600be3d86d7106-93462270
"Коммерческая недвижимость, 147 м2","Бишкек, choi155",$ 220 500,18 698 400 сом,$ 1 500/м2,127 200 сом/м2,Добавлено 2 месяца назад,,240,от собственника,кирпичный,,1,147 м2,,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаются Коммерческая недвижимость (Торговое помещение,офис)от Застройщика: Авангард Стиль ЖК "" Авангард сити’’ «Avangard CITY» –
    Торговое помещение Офис
     (147м2) (237м2)
цена 1500$/м2 Торг
Рассмотрим варианты обмена на авто или вторичного жилья (недвижимость меньшей стоимостью)
Варианты рассрочки с не менее 50% первоначального взноса в удобные для вас сроки
Есть Whatsapp 0703141819
        0555492055
        0779652899
(От партнёра Авангард стиль)
","""42.8207""","""74.6172""",https://www.house.kg/details/2892930600bdf46a8d8f8-66279054
"Дом, 5-комн., 120 м2","Бишкек, Красный Строитель ж/м, наманганская 47/нет",$ 48 000,4 070 400 сом,$ 400/м2,33 920 сом/м2,Добавлено 3 месяца назад,Поднято 2 месяца назад,522,от собственника,"кирпичный, 2012 г.",,1,"120 м2, жилая: 120 м2, кухня: 12 м2",2 соток,,смешанное,хорошее,возможно подключение,проводной,совмещенный,,,,,,септик,центральное водоснабжение,есть,магистральный,,,частично меблирована,ламинат,3 м.,,,,рассмотрю варианты,"

                                    Описание от продавца                            
срочно продаю, дом очень уютный можете посмотреть
","""42.937""","""74.5942""",https://www.house.kg/details/76173125fe2e5e99fe6a1-12602635
"3-комн. кв., 100 м2","Бишкек, 155",$ 80 000,6 784 000 сом,$ 800/м2,67 840 сом/м2,Добавлено 2 месяца назад,,169,от собственника,"монолитный, 2022 г.",3 этаж из 10,,100 м2,,элитка,на газе,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Цена:
800 USD
Город: Бишкек
Площадь (кв.м.): 100
Количество комнат: 3
Этаж: 3
Обмен: Да
Готовность: Строительство
Подаётся квартиры от Застройщика «Авангард стиль»
ЖК» «Avangard CITY»
2x-комнатная (77 м2)
Блок 4-4,12 этаж
(81м2)
Блок 6-8 этаж
(73м2)
Блок 10-8 этаж
3х-комнатная
(100 м2)
Блок 1-2-3-4-5
цена 800$/м2 Торг
Рассмотрим варианты обмена на авто или вторичного жилья (недвижимость меньшей стоимостью)
Варианты рассрочки с не менее 50% первоначального взноса в удобные для вас сроки
Тел: 0703141819 (есть what's up)
0555492055
0779652899
(От Партнёра Авангард стиль)
","""42.8193""","""74.6038""",https://www.house.kg/details/8246217600bd53bd170d4-79249490
"Дом, 4-комн., 120 м2","Бишкек, Кок-Жар ж/м, Тон",$ 95 000,8 056 000 сом,$ 792/м2,67 133 сом/м2,Добавлено 2 месяца назад,,375,от агента,"кирпичный, 2012 г.",,1,120 м2,4 соток,,на газе,хорошее,,,раздельный,,,,,,,,,,,,,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
2к Элитка Премиум 98м2 ПСО
Адр. Джунусалиева/Ажыбек Баатыра (р-н Старого аэропорта)
на 3 этаже из 10
ЖК Магнат
СК Cap Stroi KG
Окна на Восток, Запад

73500$ миниторг

Близость всей необходимой инфраструктуры 
(школы, университеты, центры для развития детей, спорт комплексы, места для развлечений, самая длинная аллея по пр. Ч. Айтматова);
Дорогой фасад;
Современные детские площадки;
Наличие спортивной площадки для взрослых на территории комплекса;
Круглосуточное обзорное видеонаблюдение;
Европейская система противопожарной сигнализации по всей территории комплекса;
Огражденная большая придомовая территория;
Витражные окна;
Горячее и холодное водоснабжение; система централизованного отопления; газификация; электрификация;
Лифты класса LUX;
Высота потолков более 3-метров;
Интернет, цифровое телевидение,
Сейсмостойкость- 8 баллов по шкале Рихтера;
","""42.8428""","""74.6389""",https://www.house.kg/details/288156600bd08f8f08e6-79329807
"5-комн. кв., 220 м2","Бишкек, 7 м-н,  ул. А. Токомбаева",$ 253 000,21 454 400 сом,$ 1 150/м2,97 520 сом/м2,Добавлено 2 месяца назад,,190,от агента,"монолитный, 2015 г.",12 этаж из 12,,220 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Цена:1150 USD
Город: Бишкек
Площадь (кв.м.): 220
Количество комнат: 5
Этаж: 12
Готовность: С ремонтом
Продаются Квартиры от Застройщика: Авангард Стиль ЖК "" 7-Небо "", ул. А. Токомбаева Глобус.
ПЕНТХАУС(220 м2) 12 и 13 этаж
С ремонтом без мебели.
цена 1150$м2 Торг
Рассмотрим варианты обмена на авто или вторичного жилья (недвижимость меньшей стоимостью)
Тел: 0703141819 (есть what's up)
Тел:0703141819
0555492055
","""42.8242""","""74.6156""",https://www.house.kg/details/7885189600bcdb7cedd46-03937605
"Участок, 4 соток","Бишкек, Дордой 2 ж/м, 8 17",$ 15 000,1 272 000 сом,,,Добавлено 2 месяца назад,,473,от собственника,,,,,4 соток,,,,,,,,,,"свет,                                             вода",в городе,,,,,,,,,,"хозпостройки,                                             времянка",,,,,"""42.9491""","""74.6351""",https://www.house.kg/details/670515600bc9f36b1c73-89149243
"Дом, 1-комн., 30 м2","Бишкек, Белинка/Ажыбек баатыра",$ 28 200,2 391 360 сом,$ 940/м2,79 712 сом/м2,Добавлено 2 месяца назад,Поднято 2 месяца назад,535,от собственника,"кирпичный, 1980 г.",,3,30 м2,,,центральное,среднее,есть,проводной,совмещенный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,пустая,дерево,,,,,,"

                                    Описание от продавца                            
СРОЧНО ПРОДАЮ! 
Мира/Ажыбек баатыра 73 д. 
1 ком. КВ, 3/3 хрущ, не угол, площадь 30м2. 
Цена 28200 $
тел. 0553822455
","""42.8409""","""74.5843""",https://www.house.kg/details/42283136001dac9c79717-20150172
"4-комн. кв., 220 м2","Бишкек,  ул. Уметалиева 99/1 пер. Чуй",$ 195 000,16 536 000 сом,$ 886/м2,75 164 сом/м2,Добавлено 2 месяца назад,,135,от собственника,кирпичный,9 этаж из 10,,220 м2,,индивид. планировка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Цена: 195000 USD
Город: Бишкек
Площадь (кв.м.): 220
Количество комнат: 4 
Этаж: 9
Обмен: Да
Готовность: С ремонтом
Продаются Квартиры
4- ком. (220 м2) Квартира с ремонтом.
ул. Уметалиева 99/1 пер. Чуй
Есть еще подземная ПАРКОВКА!
Рассмотрим варианты обмена на авто или вторичного жилья (недвижимость меньшей стоимостью)
Варианты рассрочки с не менее 50% первоначального взноса в удобные для вас сроки
Тел: 0703141819 (есть what's up)
0555492055
","""42.8771""","""74.5813""",https://www.house.kg/details/8385545600bc621719904-04458507
"Дом, 5-комн., 103 м2","Бишкек, Кара-Жыгач ж/м, кара жыгач",$ 55 000,4 664 000 сом,$ 534/м2,45 282 сом/м2,Добавлено 2 месяца назад,Поднято 2 месяца назад,258,от собственника,кирпичный,,,103 м2,6 соток,,на твердом топливе,хорошее,,,раздельный,,,,,,центральная,центральное водоснабжение,есть,,,,пустая,дерево,,"пластиковые окна,                                             хозпостройки,                                             гараж",,,с доплатой покупателя,"

                                    Описание от продавца                            
Дом ж.м. Кара-Жыгач участок-6соток,103м2.цена55$ дом-4комнаты+кухня+сан узел+прихожая+котельная.So-103м2. Sж-65м2. Sк-13.5м2.! стены саман, недалеко от Ондош Ата,гараж, все коммуникации рядом, подземный гараж, двор на несколько авто, во вдоре строение 6 комнатное расчитанное на квартирантов. прошу 55000 за нал! обмен- 65000$
","""42.8593""","""74.6561""",https://www.house.kg/details/21568176006ca18535b93-50276735
"Дом, 4-комн., 48 м2","Бишкек, Бакай-Ата ж/м, рыбинский 34/буденного",$ 26 000,2 204 800 сом,$ 542/м2,45 933 сом/м2,Добавлено 2 месяца назад,,334,от собственника,другое,,,"48 м2, жилая: 11 м2, кухня: 6 м2",4 соток,,на газе,хорошее,,,,,,,,,септик,центральное водоснабжение,есть,магистральный,,,,линолеум,,пластиковые окна,,,,"

                                    Описание от продавца                            
СРОЧНО ПРОДАЕТСЯ ДОМ РАЙОН АЛАМЕДИНСКОГО РЫНКА, 3КОМНАТЫ 2ВРЕМЯНКИ.ВНУТРИ ДОМА ЕСТЬ ГАЗ ВОДА.СВЕТ. 4СОТКИ. ДОМ ЖИЛОЙ ОТ СОБСТВЕННИКА. Переулок РЫБИНСКИЙ 34.  
 26000$ 
звоните в любое время суток +996707043403,
+996709567056.Омурбек.
","""42.8934""","""74.6365""",https://www.house.kg/details/7610229600bc1b571a374-96433082
"2-комн. кв., 58 м2","Бишкек, Кок-Жар ж/м, Молдокулова 10/Ахунбаева",$ 49 500,4 197 600 сом,$ 853/м2,72 372 сом/м2,Добавлено 5 месяцев назад,Поднято 2 месяца назад,341,от собственника,"монолитный, 2020 г.",6 этаж из 10,,"58 м2, жилая: 19 м2, кухня: 8 м2",,индивид. планировка,на газе,хорошее,нет,проводной,раздельный,лоджия,бронированная,паркинг,,,,,,магистральный,,"охрана,                                             видеонаблюдение",пустая,ламинат,280 м.,"новая сантехника,                                             неугловая,                                             тихий двор",нет,нет,обмен не предлагать,"

                                    Описание от продавца                            
Продается 2х. ком. квартира Ахунбаева - Молдокулова

Элитка! Застройщики Эмаком 

квартира находится на шестом этаже десятиэтажного дома 

квартира общей площадью 58 квадратных метров (перепланировка! планировка студия кухня + зал)

квартира с ремонтом смотрите на фото 

коммуникации; отопление газовое, приготовление газовое, центральная канализация, центральное водоснабжение, горячая вода от аристона.

прошу: 52.000 $ тысяч долларов США (торгуемо при осмотре квартиры)

Звоните по телефону: 0501 00 78 71 или 0555 103 133
","""42.8392""","""74.6431""",https://www.house.kg/details/30125385fa53258958a55-55007031
"1-комн. кв., 20 м2",Бишкек,$ 13 500,1 144 800 сом,$ 675/м2,57 240 сом/м2,Добавлено 4 месяца назад,Поднято 2 месяца назад,490,от собственника,кирпичный,3 этаж из 4,,20 м2,,малосемейка,,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Гоорит! Срочно пр-ся!

1 ком/кв, гост/типа! 20м²,

Сыдыгалиева/Дэн Сяопина.

Секция на 2 хозяина,3/4этаж, не угловая, балкон застеклен.  

Просим 13 500$+торг.

0502 00 78 71

0557 00 97 39
","""42.8753""","""74.5223""",https://www.house.kg/details/1774885fc76ed7b5cd99-67226905
