title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"Коммерческая недвижимость, 613 м2","Бишкек, Жукеева Пудовкина/Карасаева",$ 550 000,46 640 000 сом,$ 897/м2,76 085 сом/м2,Добавлено 2 месяца назад,Поднято 4 часа назад,394,от собственника,"кирпичный, 2010 г.",,5,613 м2,4.5 соток,,смешанное,евроремонт,,проводной,,,,,,,,,,,,,,,,,,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаётся коммерческое 5-ти этажное здание с ремонтом под бизнес на Жукеева Пудовкина / Карасаева (бывш. ул. Дружба) очень высокая проходимость первая линия!
- Участок 4.5 соток;
- КРАСНАЯ КНИГА;
- Площадь 613м²;
- Подвальное помещение тоже под офис;
- Все коммуникации;
- Готовые офисные помещения;
Отлично подойдёт под медицинский центр, большой детский садик, образовательный центр, интернет клуб или же разделить на офисы и сдавать по отличной цене!
Цена: 550 000$ + торг!
Рассмотрим варианты обмена на квартиры и машины!
По всем интересующим вопросам звоните:0702-733-722 [WhatsApp]
","""42.854""","""74.6164""",https://www.house.kg/details/27950905fff15299a2e89-94115721
"4-комн. кв., 160 м2","Бишкек, Асанбай м-н, Сухе Батора/Асанбай",$ 182 400,15 467 520 сом,$ 1 140/м2,96 672 сом/м2,Добавлено 3 месяца назад,Поднято 4 часа назад,501,от агента,монолитный,4 этаж из 8,,160 м2,,элитка,,под самоотделку (псо),,,2 с/у и более,балкон,бронированная,паркинг,,,,,,магистральный,,"сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",пустая,,3.3 м.,,,,,"

                                    Описание от продавца                            
Продается 4-х комнатная квартира ПСО в жилом комплексе ""Французский квартал""
Застройщик СК ""Авангард стиль""
Дом премиум класса?
- Площадь 160м²;
- Высота потолка 3,3 м.;
- Прочнейшая монолитно-кирпичная конструкция здания;
- Система автономного отопления
- Алюминиевые окна (из тёплой серии)
- Бесшумные, скоростные лифты;
- Домофоны с видеосигналом;
- Двухуровневый подземный паркинг на 240 автомобилей;
- Консьерж – служба;
- Детские игровые площадки;
- Универсальная спортивная площадка;
- Продуманная система контроля доступа и безопасности;
- Генератор резервного питания;
- Велотренажёрные и беговые дорожки!
Шикарное расположение дома все в шаговой доступности рядом школа Газпром, гипермаркет ""GLOBUS"", парк Асанбай, отель ""Jannat"" и мн.др.
Планировку скину в личку!
Цена:  1140$ за м² небольшой торг!
Тел: 0702-733-722 [WhatsApp]
","""42.8167""","""74.6148""",https://www.house.kg/details/86748865ff2efd0746385-46691221
"2-комн. кв., 74 м2","Бишкек, Кок-Жар ж/м, Шокум",$ 65 000,5 512 000 сом,$ 878/м2,74 486 сом/м2,Добавлено 2 месяца назад,Поднято 4 часа назад,247,от агента,"кирпичный, 2017 г.",3 этаж из 10,,74 м2,,элитка,электрическое,евроремонт,,,раздельный,лоджия,бронированная,,,,,,,магистральный,,домофон,полностью меблирована,ламинат,,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаю 2кв,  элит, 3/10, кирп, 
 ж/м, К.Жар, 74м2,  лоджия, сан.узел раздельный, евро ремонт, с мебелью,  65т $, 
0555 918069
","""42.8502""","""74.6401""",https://www.house.kg/details/8713310600c410be0f109-00051553
"3-комн. кв., 116 м2","Бишкек, 7 м-н, Юнусалиева",$ 117 000,9 921 600 сом,$ 1 009/м2,85 531 сом/м2,Добавлено 3 месяца назад,Поднято 4 часа назад,557,от агента,"монолитный, 2017 г.",2 этаж из 10,,116 м2,,элитка,центральное,евроремонт,,,раздельный,балкон,металлическая,рядом охраняемая стоянка,,,,,,магистральный,,"видеонаблюдение,                                             охрана",частично меблирована,ламинат,3 м.,,,,,"

                                    Описание от продавца                            
Продаётся светлая 3-х комнатная квартира в южной части города в 7 мкр в жилом комплексе ""Mega City""
Застройщик СК ""Мега Строй""
- Этаж 2/10;
- Площадь 116м²;
- Большая кухня;
- Раздельный санузел;
- Два лифта;
- Все коммуникации центральные;
Шикарный район города, все рядом ТЦ ""Beta Stores 2"", ТЦ ""Космопарк"", супермаркет ""GLOBUS"" и маркет мыломоющих средств ""Mega City"", школы и детские садики!
* Двор без машин, рядом есть бесплатная автостоянка для жильцов!
Квартира в отличном состоянии!
Цена: 117 000$ + торг!
Тел: 0702-733-722 [WhatsApp]
","""42.8295""","""74.6214""",https://www.house.kg/details/46995735fe062b5878e12-08015814
"2-комн. кв., 42 м2","Бишкек, 5 м-н",$ 34 400,2 917 120 сом,$ 819/м2,69 455 сом/м2,Добавлено 12 дней назад,Поднято 4 часа назад,157,от агента,кирпичный,1 этаж из 4,,42 м2,,104 серия,центральное,хорошее,есть,проводной,совмещенный,балкон,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             кодовый замок",частично меблирована,линолеум,,"пластиковые окна,                                             новая сантехника,                                             комнаты изолированы,                                             тихий двор",,,,"

                                    Описание от продавца                            
Микрорайон 5 продается 2х комнатная квартира на 1 этаже из 4.
Квартира угловая, без балкона, ремонт средний.
Дом напротив Бета Сторес 2, 45 дом.
Цена 34 400$. 0706 42 71 52.
","""42.8313""","""74.6227""",https://www.house.kg/details/7940104604c7b1461a8f5-92613322
"Дом, 5-комн., 68 м2","Бишкек, Медерова/Панфилова",$ 115 000,9 752 000 сом,$ 1 691/м2,143 412 сом/м2,Добавлено 6 месяцев назад,Поднято 4 часа назад,821,от агента,"другое, 1968 г.",,1,68 м2,6 соток,,смешанное,требует ремонта,,,нет,,,,,,возможно подведение,,есть,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Продаю дом, 6сот, 20х30, Медерова-Панфилова, газ, ц/к рядом, улица широкая, удобно под строительство, хороший район, просим 115т.$, 0700 308900
","""42.8538""","""74.6008""",https://www.house.kg/details/52229675f747428d64698-15205000
"3-комн. кв., 85 м2","Бишкек, Ажыбек Баатыра/Проспект Чингиза Айтматова",$ 82 000,6 953 600 сом,$ 965/м2,81 807 сом/м2,Добавлено 9 дней назад,Поднято 4 часа назад,91,от агента,монолитный,7 этаж из 12,,85 м2,,элитка,смешанное,евроремонт,,,раздельный,балкон,бронированная,рядом охраняемая стоянка,,,,,,,,"видеонаблюдение,                                             охрана,                                             домофон",пустая,,3 м.,,,,,"

                                    Описание от продавца                            
Продаётся 3-х комнатная квартира с ремонтом в жилом комплексе ""Casa Bella"" расположенная в районе отеля Ак-Кеме и старого аэропорта!
Дом класса комфорт +
Застройщик СК ""ИХЛАС""
- Этаж 7/12;
- Площадь 89м²;
- Теплые полы;
- Кладовка;
- Два санузла 100% кафель;
- Большой зал;
- Два лифта;
- Панорамные окна из алюминиевого профиля;
- Фасад дома выполнен из натурального камня травертин;
- Все коммуникации;
- Утепление дома 10 см базальтовым волокном!
Дом сдан в эксплуатацию, заселён, тех паспорт есть, отличный район все в шаговой доступности, парки, магазины, школы, садики, университеты, банки и т.д.!
Цена: 82 000$ + торг!
Тел: 0702-733-722 [WhatsApp]
","""42.8409""","""74.5821""",https://www.house.kg/details/1261118605090a659cc70-08486879
"2-комн. кв., 65 м2","Бишкек, К.Акиева-Жумабека",$ 41 000,3 476 800 сом,$ 631/м2,53 489 сом/м2,Добавлено 13 дней назад,Поднято 4 часа назад,142,от агента,"монолитный, 2020 г.",5 этаж из 10,,65 м2,,элитка,на газе,под самоотделку (псо),есть,проводной,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"домофон,                                             сигнализация,                                             охрана,                                             видеонаблюдение",пустая,,3 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаю двухкомнатную квартиру под ПСО. 65 кв.м. Этаж 5 из 10. Дом новый монолит-кирпичный. Застройщик Роял Констракшн. ЖК Мурас. Фрунзе/Калык акиева. Все коммуникации центральное. Дом завершен, под ПСО Апрель 2021 года. Цена 41 000$. 0507 77 22 32

 

Так же есть 1 комнатная квартира 45 кв.м. этаж 9 из 10. 26 500$


Цена ниже застройщика.
","""42.8833""","""74.5786""",https://www.house.kg/details/6027863604b12fb051f82-38567450
"2-комн. кв., 89 м2","Бишкек, Токтогула/Исанова",$ 120 000,10 176 000 сом,$ 1 348/м2,114 337 сом/м2,Добавлено 9 дней назад,Поднято 4 часа назад,63,от собственника,монолитный,8 этаж из 14,,89 м2,,элитка,центральное,евроремонт,,,раздельный,,бронированная,,,,,,,магистральный,,"охрана,                                             видеонаблюдение,                                             домофон",полностью меблирована,ламинат,3 м.,,,,,"

                                    Описание от продавца                            
Продаётся просторная 2-х комнатная квартира в центре на Токтогула / Исанова!
Дорогой дизайнерский ремонт в современном стиле Хай-тек!
- Этаж 8/14;
- Площадь 85м²;
- Два санузла;
- Прачечная комната;
- Комплект бытовой техники ""gorenje"" (холодильник, вытяжка, духовка, микроволновка, телевизор, посудомоечная машина, стиральная машина, бойлер)
- Столешница из натурального камня;
- Гарнитуры без ручек все на доводчиках;
- Теплый пол всей квартире + батареи;
- Немецкий паркетный ламинат;
- Декоративная штукатурка стен;
- Мягкая мебель;
Юридически чистая, есть все необходимые документы, Тех.Паспорт на руках!
Цена: 120 000$ + торг!
Тел: 0702-733-722 [WhatsApp]
","""42.8732""","""74.5896""",https://www.house.kg/details/4984639605094cf161b45-33291936
"1-комн. кв., 33 м2","Бишкек, 4 м-н",$ 27 500,2 332 000 сом,$ 833/м2,70 667 сом/м2,Добавлено 21 день назад,Поднято 4 часа назад,248,от агента,кирпичный,4 этаж из 4,,33 м2,,104 серия,центральное,среднее,есть,проводной,совмещенный,застекленный балкон,бронированная,паркинг,,,,,,магистральный,,домофон,частично меблирована,линолеум,,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",нет,,,"

                                    Описание от продавца                            
В 4 микрорайоне продается однокомнатная квартира средним ремонтом. Этаж 4 из 4 не угловая. Серия 104 балкон. С крышей проблем нет. Окно пластиковые, трубы новые, стоят счетчики, ванная 100%  кафель. Цена 27 500. Тел 0507 77 22 32
","""42.8391""","""74.6258""",https://www.house.kg/details/55144486040edbaa3dec8-29586675
