title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link
"5-комн. кв., 128 м2","Бишкек, Филармония, Манаса/Мира",$ 90 000,7 632 000 сом,$ 703/м2,59 625 сом/м2,Добавлено 2 месяца назад,Поднято 10 дней назад,181,от агента,кирпичный,5 этаж из 6,,128 м2,,индивид. планировка,центральное,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продам 5 к.квартиру на Манаса\Исанова

Двухуровневая 5 и 6 этаж из 6

* 128 м2+2 лоджии= 142 м2

* Все центральные коммуникации

* Лифта нет

Прошу  90 000$

0556 199-178, 0709 162579
","""42.8729""","""74.5881""",https://www.house.kg/details/2565593601e8577f30652-93849652
"Дом, 3-комн., 23 м2","Бишкек, Жибек-Жолу/Фучика",$ 20 000,1 696 000 сом,$ 870/м2,73 739 сом/м2,Добавлено 17 дней назад,Поднято 10 дней назад,186,от собственника,другое,,1,23 м2,2 соток,,на твердом топливе,требует ремонта,,,,,,,,,,,есть,нет,,,пустая,дерево,3 м.,,нет,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Продается полдома в р/не Жибек-Жолу/Фучика.
3жил.комнат, прихожка, хоз.постр.
2сот.уч. Тех.Паспорт имеется.
20 000долл. 0707 30 21 21
","""42.8874""","""74.5646""",https://www.house.kg/details/89758596047068c8a5c71-93777810
"Участок, 28 соток","Бишкек, Магистраль",$ 1 100 000,93 280 000 сом,,,Добавлено 10 дней назад,,80,от собственника,,,,,28 соток,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
срочно продаю участок 28 соток по Южной магистрали, первая линия. Под строительство.
","""42.83""","""74.596""",https://www.house.kg/details/14371006050471174c872-87010325
"Участок, 4 соток","Бишкек, Арча-Бешик ж/м, Кошон/Куйукова",$ 60 000,5 088 000 сом,,,Добавлено 4 месяца назад,Поднято 10 дней назад,432,от собственника,,,,,4 соток,,,,,,,,,,"свет,                                             газ,                                             вода,                                             канализация,                                             отопление,                                             интернет",,,,,,,,,,,"удобно под коммерцию,                                             возможна аренда,                                             все документы,                                             удобный въезд,                                             времянка",,,рассмотрю варианты,"

                                    Описание от продавца                            
Продаю готовый бизнес
Баня с наработанными клиентами. Работает 9 лет.

* Имеется участок для пристройки;
*Участок – 3,6 сот.;
*Площадь бани – 95 кв2;
На территории участка все центральные коммуникации, центральная канализация.
Имеются документы на строительство. Красная книга.
*Адрес: ж/м Арча Бешик, ул. Кошон (пер. Куюкова)
*Цена: 60 000$. Возможен торг
*Обращаться по тел.: 📱 0700954463
","""42.8374""","""74.5547""",https://www.house.kg/details/18377555fcf52e690cb27-26960598
"3-комн. кв., 57 м2","Бишкек, Сыдыкова/Тимирязева",$ 51 500,4 367 200 сом,$ 904/м2,76 618 сом/м2,Добавлено 12 дней назад,Поднято 10 дней назад,71,от собственника,кирпичный,5 этаж из 5,,57 м2,,индивид. планировка,центральное,среднее,,,,застекленный балкон,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю 3-х к.квартиру в тихом центре по Сыдыкова/Тимирязева. 5 из 5, не угол. Цена: 51500$, торг уместен в разумных пределах. Обращайтесь по номеру: 0702092478
","""42.8743""","""74.5786""",https://www.house.kg/details/1502668604db3e74cf7b1-24696591
"3-комн. кв., 150 м2","Бишкек, Балтагулова , 2/3/Манаса проспект",$ 90 000,7 632 000 сом,$ 600/м2,50 880 сом/м2,Добавлено 29 дней назад,Поднято 10 дней назад,119,от агента,"кирпичный, 2020 г.",8 этаж из 10,,"150 м2, кухня: 23 м2",,элитка,центральное,под самоотделку (псо),,,2 с/у и более,,металлическая,,,,,,,магистральный,,"охрана,                                             видеонаблюдение",,,3 м.,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",есть,есть,обмен на авто,"

                                    Описание от продавца                            
Просторная полноценная 3-х комнатаная квартира на 8 этаже 10-ти этажного элитного кирпичного дома .
Застройщик : “ Азия Курулуш”
Великолепная планировака , все комнаты изолированы , окна на север- юг . Высокие потолки высотой 3,25 м .
Кухня 23 квадрата . Предусмотрено три санузла .
Тихий огороженный , охраняемый двор .
Все коммуникации центральные !
Электропроводка , газовые трубы заведены в квартиру . Установлены качественные выходные двери . 
Удобные подьездные пути к дому с проспекта Манаса , через дорогу ТРК “ Азия Молл”, БГУ , Политех , …
Все документы на руках .
Квартира продается по цене ниже чем у застройщика !
Рассмотрим варианты обмена с доплатой на 1 -2 х комнатные квартиры , а также автомашину .
","""42.8545""","""74.5881""",https://www.house.kg/details/764120960372e880e7006-54755185
"1-комн. кв., 32 м2","Бишкек, Ибраимова/Московская",$ 29 000,2 459 200 сом,$ 906/м2,76 850 сом/м2,Добавлено 11 дней назад,Поднято 10 дней назад,83,от собственника,панельный,3 этаж из 9,,32 м2,,105 серия,центральное,среднее,,,,лоджия,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю 1 к.квартиру 105 серии по Ибраимова/Московская (Комфорт). 3 этаж из 9. Центр, развитая инфраструктура, рядом есть все.   Цена: 29000$, торг уместен в разумных пределах. Обращайтесь по телефону: 0702092478
","""42.8707""","""74.6177""",https://www.house.kg/details/9141896604e239ae838b7-84097945
"Участок, 11 соток","Бишкек, Арча-Бешик ж/м, Шералиева/Бердибаева",$ 79 000,6 699 200 сом,,,Добавлено 11 дней назад,Поднято 10 дней назад,67,от собственника,,,,,11 соток,,,,,,,,,,"свет,                                             газ,                                             вода",,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю земельный участок площадью 11 соток, Шералиева/Бердибаева. Из коммуникаций: водопровод, электричество, газ, центральную канализацию можно подключить. Цена: 79000$, торг уместен в разумных пределах. Обращайтесь по номеру: 0702092478
","""42.8222""","""74.5555""",https://www.house.kg/details/9072950604eeede7571e4-14586351
"3-комн. кв., 80 м2","Бишкек, Усенбаева/Боконбаева",$ 58 500,4 960 800 сом,$ 731/м2,62 010 сом/м2,Добавлено 11 дней назад,Поднято 10 дней назад,62,от собственника,панельный,6 этаж из 9,,80 м2,,105 серия улучшенная,центральное,хорошее,,,,лоджия,,,,,,,,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю 3-х к.квартиру 105 серии, + сушилка. 6 этаж из 9, не угловая. Состояние хорошее, жилое. Центр, шикарный район, Боконбаева/Усенбаева. Очень развитая инфраструктура, рядом есть абсолютно все. Цена: 58500$, торг уместен в разумных пределах. Обращайтесь по номеру: 0702092478
","""42.8664""","""74.6126""",https://www.house.kg/details/9710876604e1b33bc5537-98753825
"Дом, 4-комн., 165 м2","Бишкек, Южнее 4 горбольницы",$ 77 000,6 529 600 сом,$ 467/м2,39 573 сом/м2,Добавлено 12 дней назад,Поднято 10 дней назад,58,от собственника,"кирпичный, 2005 г.",,1,165 м2,,,электрическое,хорошее,,,,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,,,,,,,,"

                                    Описание от продавца                            
Срочно продаю 4-х комнатный добротный кирпичный дом, + 2 ком.времянка (2005 года постройки). Площадь 165 м2. 
Район 4 гор.больницы. Участок 8 соток (6 соток - красная книга + 2 сотки - зелёная книжка. Отопление: тёплый пол. Все коммуникации центральные:
газ, вода, канализация. 
Рядом многоэтажные дома , садики, 4 гор.больница 
Перспективный район 
Цена: 77000$, торг уместен в разумных пределах. Обращайтесь по номеру: 0702092478
","""42.8461""","""74.5498""",https://www.house.kg/details/8485375604dc17c00bb57-20803868
