title,address,price_dollar,price_som,dollar_per_m2,som_per_m2,post_date,update_date,views,Тип предложения,Дом,Этаж,Кол-во этажей,Площадь,Площадь участка,Серия,Отопление,Состояние,Телефон,Интернет,Санузел,Балкон,Входная дверь,Парковка,Коммуникации,Местоположение,Канализация,Питьевая вода,Электричество,Газ,Поливная вода,Безопасность,Мебель,Пол,Высота потолков,Разное,Возможность рассрочки,Возможность ипотеки,Возможность обмена,description,latitude,longitude,link,Тип строения
"2-комн. кв., 64 м2","Бишкек, Джал-23 м-н (Нижний Джал)",$ 46 500,3 943 200 сом,$ 727/м2,61 613 сом/м2,Добавлено 14 дней назад,,53,от собственника,панельный,7 этаж из 9,,64 м2,,106 серия,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Срочно!!! Продаю 2х ком. квартиру  в чистом районе города Бишкек 
Адрес: Нижний Джал
S -64кв.м.        
106 серия                  
7этаж из 9
Все коммуникации центральные.

 Тихий, хороший район, в  шаговой доступности   частный/ гос.садики, школы, поликлиника, парки, университет, супер  маркет 
 и т.д 

очень удобная транспортная развязка.
 
Цена: $ 46500 торг

Телефон:0708781354
","""42.8421""","""74.5658""",https://www.house.kg/details/69179186049f1a23e4600-86882523,
"3-комн. кв., 58 м2","Бишкек, 10 м-н, Малдыбаева",$ 43 500,3 688 800 сом,$ 750/м2,63 600 сом/м2,Добавлено 14 дней назад,,91,от собственника,панельный,3 этаж из 5,,58 м2,,104 серия,центральное,среднее,нет,проводной,совмещенный,застекленный балкон,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,,частично меблирована,линолеум,2.5 м.,,нет,нет,,"

                                    Описание от продавца                            
Продаю 3-х ком.кв, 10 мкр.по Малдыбаевой, 104- серия, 3 этаж из 5, не угловая,  все коммуникации центральные , балкон застеклён. В шаговой доступности продуктовые магазины, детские садики, школа. Чистый воздух, отличное место для прогулок по набережной. Район отличный!
","""42.8312""","""74.6006""",https://www.house.kg/details/79930656049e64ba84524-60247524,
"1-комн. кв., 50 м2","Бишкек, Тунгуч м-н",$ 38 000,3 222 400 сом,$ 760/м2,64 448 сом/м2,Добавлено 14 дней назад,,61,от агента,кирпичный,1 этаж из 9,,50 м2,,элитка,центральное,евроремонт,возможно подключение,оптика,,,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"видеодомофон,                                             кодовый замок,                                             видеонаблюдение",частично меблирована,паркет,,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             тихий двор",,,,"

                                    Описание от продавца                            
Продаётся шикарная 1 к квартира площадью 50 м кв, расположена в закрытом городке мкр Тунгуч. 1 этаж. Удобная планировка, стены кирпич. Все коммуникации центральные.  Цена: 38000$ торг
","""42.859""","""74.6816""",https://www.house.kg/details/70417726049e5cfe830a1-72368498,
"1-комн. кв., 46 м2","Бишкек, пр. Ч.Айтматова - Масалиева",$ 36 000,3 052 800 сом,$ 783/м2,66 365 сом/м2,Добавлено 14 дней назад,,64,от агента,"монолитный, 2022 г.",6 этаж из 9,,46 м2,,108 серия,автономное,евроремонт,возможно подключение,оптика,совмещенный,балкон,бронированная,паркинг,,,,,,магистральный,,домофон,пустая,паркет,2.8 м.,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             неугловая,                                             тихий двор",,,,"

                                    Описание от продавца                            
квартира рассположена  в экологически читом районе в ЖК Молодежный Квартал, с Евро ремонтом Кафель 100%, обои, ламинат, софиты, натяжной потолок.  не угловая, с кухни балкон. площадь 46 кв.м.  Фасад дома жидкий травертин. Вокруг парки Ынтымак, Южные ворота, беговая и вело дорожки, в шаговой доступности ТЦ Ала Арча. Глобус, кафе и рестораны.  ЦЕНА 36000$  0-755-25-00-80, 0-505-25-00-80 0-220-25-00-80
","""42.8249""","""74.591""",https://www.house.kg/details/53402936049e36977c265-39452732,
"1-комн. кв., 50 м2",Бишкек,$ 35 000,2 968 000 сом,$ 700/м2,59 360 сом/м2,Добавлено 14 дней назад,,81,от агента,кирпичный,12 этаж из 14,,50 м2,,элитка,,под самоотделку (псо),,оптика,раздельный,балкон,,,,,,,,,,,,,,,,,,,"""42.8731""","""74.5807""",https://www.house.kg/details/20598216049e1d2b37f54-36977703,
"1-комн. кв., 54.6 м2","Бишкек, ул. Медерова / ул. Элебаева",$ 45 000,3 816 000 сом,$ 824/м2,69 890 сом/м2,Добавлено 3 месяца назад,Поднято 14 дней назад,238,от собственника,"монолитный, 2020 г.",4 этаж из 14,,54.6 м2,,элитка,центральное,под самоотделку (псо),возможно подключение,оптика,совмещенный,лоджия,бронированная,рядом охраняемая стоянка,,,,,,магистральный,,"охрана,                                             видеонаблюдение,                                             консьерж",пустая,,3 м.,"комнаты изолированы,                                             кладовка,                                             тихий двор",нет,есть,с доплатой покупателя,"

                                    Описание от продавца                            
1 к.кв. с тех. Паспортом. ПСО. Премиум класс.
⠀
🔸Район Медерова/Элебаева, же ""Верона Резиденс"".
🔸 Площадь квартиры - 54,6м2.
🔸 Этаж -4 из 12.
🔸 Дом кирпичный, утеплённый.
🔸 Работающий лифт.
🔸 Коммуникации все центральные.
🔸 Все документы на руках, можем сразу оформится.
🔸 Застройщик продавал по 900$ за 1 КВ.м.
⠀
🏗 Закрытый двор, тапчан, мини футбольное поле. Охрана, видео наблюдение по переимитру и ресепшн предусмотрены.
⠀
🔸 Цена 45 000$
📲 Хорошо уступим, только наличка.
⠀
📞0777 91 81 01,
📞0700 13 70 06
⠀
#строительнаякомпаниябишкек #квартирабишкек #домабишкек #квартирыбишкек #недвижимостьбишкек #недвижимость #квартирыврассрочку #агентствонедвижимости #агентствонедвижимостибишкек #куплюпродамбишкек #квартирыбишкекат #лучшиеквартирыбишкека #арендаквартирбишкек
","""42.8525""","""74.6143""",https://www.house.kg/details/3688225fe1db48f10835-86014149,
"Дом, 4-комн., 100.5 м2","Бишкек, Матросова/Суванбердиева",$ 170 000,14 416 000 сом,$ 1 692/м2,143 443 сом/м2,Добавлено 2 месяца назад,Поднято 14 дней назад,352,от собственника,кирпичный,,1,"100.5 м2, жилая: 73.4 м2, кухня: 9.2 м2",6.82 соток,,на газе,хорошее,есть,оптика,раздельный,,,,,,возможно подведение,центральное водоснабжение,есть,магистральный,,"решетки на окнах,                                             домофон,                                             кодовый замок",полностью меблирована,дерево,3.5 м.,"пластиковые окна,                                             баня,                                             сад,                                             хозпостройки,                                             навес,                                             3 фазы",нет,есть,рассмотрю варианты,"

                                    Описание от продавца                            
Продается дом участок 6,82 сотки на Матросова на 1 линии под строительство
Красная книга, гос акт
Перед участком проходят все центральные магистрали которые питают 3 микрорайон (газ, отопление, канализация, вода)
Есть топосъемка участка
Возможны варианты обмена
все вопросы по телефону 0776 811118
","""42.8486""","""74.6182""",https://www.house.kg/details/4127646006a087d43304-65874059,
"2-комн. кв., 84 м2","Бишкек, Исанова 5",$ 58 000,4 918 400 сом,$ 690/м2,58 552 сом/м2,Добавлено 1 месяц назад,Поднято 14 дней назад,170,от агента,"кирпичный, 2015 г.",7 этаж из 10,,"84 м2, жилая: 45 м2, кухня: 15 м2",,индивид. планировка,центральное,под самоотделку (псо),возможно подключение,,раздельный,балкон,бронированная,паркинг,,,,,,магистральный,,"решетки на окнах,                                             домофон,                                             сигнализация,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",пустая,,3 м.,"улучшенная,                                             кухня-студия,                                             неугловая,                                             кладовка,                                             тихий двор",есть,есть,,"

                                    Описание от продавца                            
Срочная продажа! Срочная цена!  2 к. кв. Исанова. 84м, 7/11, ПСО. 58 т$
Продается в престижном районе 2 к. кв,
Застройщик «Мега Строй»,
Исанова/Боконбаева,
 
Дом сдан в 2014, тех паспорт на руках, 
Все коммуникации центральное и проведены.
Стены кирпич, утеплен снаружи,
Красивый дизайн дома,
Фасад дома Сары Таш и Керамогранит,
Двор огорожен, детская площадка,
Современные лифты (грузовой и пассажирский), один подъезд,
Ворота автоматические, (дистанционные) 
Многоуровневая система безопасности,

Площадь 84 кв. метра, удобная планировка,
Отдельная кухня 14 кв. м. НЕ СТУДИЯ!
Гостиная,  спальня, 2 санузла,
Расположение юг /запад,
Комнаты просторные, изолированные,
Хорошая шумоизолация 
Просторный балкон, при желании легко застеклить, 
Электро  кабели все проведены, удобных местах 
Квартира на 7 этаже из 11,
Жилой комплекс сдан и уже 90% заселен,

 В шаговой доступности: школа №70, частный дет сад,
Бишкек Парк, аптеки, кафе, Бета Сторис, Филармония 
И многое другое для комфортной жизни, 
 
Отличный вариант, как для себя , так и под сдачу!
 
Прошу: 58  000$, минимальный торг,
Звоните сейчас: 0553 270391, 0558808363, 0500 80 83 63,
","""42.8674""","""74.591""",https://www.house.kg/details/28361446029092f2da016-25987145,
"1-комн. кв., 12 м2","Бишкек, Мед.Академия",$ 14 000,1 187 200 сом,$ 1 167/м2,98 933 сом/м2,Добавлено 14 дней назад,,93,от собственника,кирпичный,3 этаж из 5,,12 м2,,индивид. планировка,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаётся 1-комнатная Квартира в Ахунбаева Малдыбаева
Дом Гостиничного типа(Секционный тип С\У на 6 человек)
Общая площадь-12м2
Этаж-3/5
Не угловая
Частично мебель 
Тихий район, всё в шаговой доступности, отличная транспортная развязка!
Цена: 14000$
Торг при осмотре
","""42.8521""","""74.6109""",https://www.house.kg/details/23618576049d59130ae63-45334346,
"1-комн. кв., 38.8 м2","Бишкек, ул. Токтогула / ул. Суюнбаева",$ 34 000,2 883 200 сом,$ 876/м2,74 309 сом/м2,Добавлено 16 дней назад,Поднято 14 дней назад,105,от собственника,монолитный,10 этаж из 12,,38.8 м2,,элитка,центральное,евроремонт,возможно подключение,проводной,совмещенный,балкон,бронированная,,,,,,,магистральный,,,пустая,паркет,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 1 ком квартиру с ремонтом
Ремонт свежий никто не жил делали для себя
Район очень хороший, рядом школы, детские садики, ЦУМ, ГУМ
Квартира на 10- этаже из 12
Продаем Срочно!
","""42.871""","""74.6239""",https://www.house.kg/details/5639490604873d41253a4-31835209,
"3-комн. кв., 97 м2","Бишкек, 7 м-н, Суха Батора - К. Маркса (7мкрн)",$ 85 000,7 208 000 сом,$ 876/м2,74 309 сом/м2,Добавлено 20 дней назад,Поднято 15 дней назад,159,от собственника,"кирпичный, 2017 г.",11 этаж из 12,,97 м2,,элитка,центральное,,,,,,,,,,,,,,,,,,3 м.,,,,,"

                                    Описание от продавца                            
Продаю 3-х Комнатную Квартиру
7-мкр... Д/16а 
Ориентир Мечеть и Газпром
Со Свежим Ремонтом
Коммуникации Всё Центральное
Площадь квартиры 97-кв.м.
Этажность 11 из 12'ти
С Парковкой проблем нет
Богатая Инфраструктура.0708808010
","""42.8266""","""74.6209""",https://www.house.kg/details/98288226041e6d485cdf1-29316015,
"Коммерческая недвижимость, 35 м2","Бишкек, Боконбаева/Гоголя",$ 17 000,1 441 600 сом,$ 486/м2,41 189 сом/м2,Добавлено 5 месяцев назад,Поднято 15 дней назад,534,от собственника,другое,,1,35 м2,,,,,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю действующий торговый павильон с оборудованием для продуктового магазина: 
2 вертикальных витринных холодильника;
2 горизонтальных холодильника;
3 витринные морозильные камеры;
1 морозильный ларь;
2 холодильника от компаний;
кондиционер зима/лето; 
3 камеры видеонаблюдения;
Телевизор;
Полки. 
Можно использовать под специализированный мясной, рыбный магазин. С документами всё в порядке, земля муниципальная.
Центр Бишкека, район центральной Мечети. Площадь 35 м² (5×7).
Продаём в связи с отъездом.

Продаю магазин
Действующий магазин
Действующий бизнес
Прибыльный бизнес
Готовый бизнес
Продуктовый магазин
Продуктовый павильон 
Коммерческая недвижимость
","""42.8664""","""74.6202""",https://www.house.kg/details/76856295fa94774a3e531-37701033,
"Дом, 4-комн., 155 м2","Бишкек, Хмельницкого 46",$ 75 000,6 360 000 сом,$ 484/м2,41 032 сом/м2,Добавлено 5 месяцев назад,Поднято 15 дней назад,582,от собственника,"кирпичный, 2018 г.",,2,"155 м2, жилая: 180 м2",10 соток,,смешанное,евроремонт,возможно подключение,проводной,раздельный,,,,,,центральная,центральное водоснабжение,есть,магистральный,,,частично меблирована,паркет,2.8 м.,,,,,"

                                    Описание от продавца                            
Срочно продаю дом. В спальнем районе. Стеклозавод. Рядом сш16.школа ,турецкий лицей Ч. Айтматова.,#14 поликлиника.15мин  ходьбы до рынка ДордойСо всеми условиями. Можно обустроить под детсад или швейной цех и.т.д 0771837494.0999960764
","""42.9257""","""74.6187""",https://www.house.kg/details/81260685f8a94f6812899-46313010,
"3-комн. кв., 58 м2","Бишкек, 7 м-н",$ 45 000,3 816 000 сом,$ 776/м2,65 793 сом/м2,Добавлено 15 дней назад,,128,от агента,панельный,1 этаж из 4,,58 м2,,104 серия,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,"

                                    Описание от продавца                            
Продаю 3-ех комнатную квартиру, 7 Мкр
104 серия, 58 кв. Метров
1 этаж из 4, состояние квартиры отличное, есть собственный погреб с полками под лоджией, не угловая
Тихий район, в пешей доступности : школа, садик, гипермаркет ""глобус"", парк, кафе, детские площадки, торговые центры и рынок Орто-Сай.
Чистый подъезд, хорошие соседи
Цена : 45000$
","""42.8272""","""74.6159""",https://www.house.kg/details/35500776049cc76f01cb1-27979067,
"2-комн. кв., 45.8 м2",Бишкек/Московская Белинского,$ 36 000,3 052 800 сом,$ 786/м2,66 655 сом/м2,Добавлено 16 дней назад,Поднято 15 дней назад,121,от собственника,панельный,5 этаж из 5,,45.8 м2,,104 серия,,хорошее,есть,проводной,совмещенный,застекленный балкон,,,,,,,,магистральный,,,пустая,линолеум,2.5 м.,,,,,"

                                    Описание от продавца                            
срочно продаю 2 к кв в центре города возле 13 школы московская Белинского крыша новая из профнастила не течет , балкон застекленный и утеплен , канализация новая до самого подвала ,+ в подвале есть комната для хранения вещей , Уступка будет.
","""42.8709""","""74.5858""",https://www.house.kg/details/19972156047b1762affc0-20431853,
"2-комн. кв., 55 м2","Бишкек, Гоин",$ 33 000,2 798 400 сом,$ 600/м2,50 880 сом/м2,Добавлено 15 дней назад,,106,от агента,"кирпичный, 1989 г.",5 этаж из 12,,"55 м2, кухня: 7 м2",,индивид. планировка,центральное,требует ремонта,,,,лоджия,,,,,,,,,,домофон,пустая,линолеум,,,,,,"

                                    Описание от продавца                            
Продам 2кв. Индивид. план. Жибек-Жолу/ Суюмбаева, этаж 5 из 12,  Площадь с лоджиями 55м2, , год постройки 1989 год. Санузел раздельный, комнаты изолированные, 3 лоджии застекленные, лифт работает, электро приготовление. Цена 33000$ торг.    0-755-25-00-80, 0-508-08-70-77, 0-778-08-70-77
","""42.8841""","""74.6087""",https://www.house.kg/details/71989176049c90c908406-13052970,
"3-комн. кв., 70 м2","Бишкек, Малдыбаева 11",$ 45 000,3 816 000 сом,$ 643/м2,54 514 сом/м2,Добавлено 15 дней назад,,89,от собственника,"кирпичный, 1962 г.",2 этаж из 4,,70 м2,,104 серия улучшенная,центральное,хорошее,есть,проводной,совмещенный,балкон,деревянная,рядом охраняемая стоянка,,,,,,магистральный,,,,,,,,,,,"""42.8453""","""74.5976""",https://www.house.kg/details/3780136049c0b3aa78a2-98080941,
"Дом, 4-комн., 150 м2","Бишкек, Сухамлинова",$ 125 000,10 600 000 сом,$ 833/м2,70 667 сом/м2,Добавлено 7 месяцев назад,Поднято 15 дней назад,654,от собственника,"кирпичный, 2000 г.",,2,150 м2,4 соток,,автономное,хорошее,,,,,,,,,,,,,,,,,,,нет,нет,рассмотрю варианты,"

                                    Описание от продавца                            
Срочно! 2-этаж дом. 150м2. р-н Джал Артис. кирпич. Канализ, газ. 125000$
0500288282

Срочно продаю 2-уровневый добротный дом в районе Джал-Артис.
Пересечение улиц Сухомлинова / Псковская.
Общая площадь дома 150м2. Это 5 жилых комнат + кухня + сан узлы.
Материал стен кирпич. Дополнительно дом утеплен с наружи.
В доме сделан ремонт. Пол ламинат, стены обои, потолок гипсокарт, натяжн.
Есть центральный газ, канализация. Отопление газовый котел.
Участок 4 сотки. Размер правильный. Во дворе газон, бассейн.
Большой гараж. Просторный погреб.

Цена 125 000$ Есть торг. Варианты обмена на кварт с доплатой нам.
0500288282
","""42.8469""","""74.5694""",https://www.house.kg/details/23992705f3f5b48e989b1-45418340,
